"country","stateroute","stops","common_label","deltaCover"
"US",14001,"1-25","Forest",-0.0139274707034949
"US",14001,"26-50","Forest",-0.0189806354603396
"US",14002,"1-25","Shrubland",0.00494669872545055
"US",14002,"26-50","Shrubland",0.00423027117449508
"US",14003,"1-25","Agricultural",0.00622604745183444
"US",14003,"26-50","Shrubland",-0.00254235499452044
"US",14004,"1-25","Forest",-0.00578667433816592
"US",14004,"26-50","Forest",-0.00428152014353284
"US",14005,"1-25","Grasslands",-0.00798158751838624
"US",14005,"26-50","Grasslands",-0.013398648361457
"US",14007,"1-25","Shrubland",0.0122424208718865
"US",14007,"26-50","Shrubland",0.0151510011707844
"US",14008,"1-25","Shrubland",-0.00342802517086684
"US",14008,"26-50","Shrubland",-0.0090181976089346
"US",14009,"1-25","Forest",0.00186342981097888
"US",14009,"26-50","Grasslands",-0.00164135331954322
"US",14010,"1-25","Shrubland",0.00354172327635912
"US",14010,"26-50","Shrubland",0.0105646623309119
"US",14012,"1-25","Grasslands",-0.00352607731031868
"US",14012,"26-50","Grasslands",-0.00469676445877132
"US",14013,"1-25","Forest",-0.00765684916233792
"US",14013,"26-50","Forest",-0.0172430992872654
"US",14014,"1-25","Grasslands",-0.00294101852680569
"US",14014,"26-50","Urban",0.00187356635058829
"US",14016,"1-25","Grasslands",-0.00344898083523448
"US",14016,"26-50","Agricultural",-0.00347557644574316
"US",14017,"1-25","Forest",-0.0046649498012968
"US",14017,"26-50","Forest",-0.0118219715460717
"US",14018,"1-25","Shrubland",0.00857457595538744
"US",14018,"26-50","Shrubland",0.0119922487039767
"US",14019,"1-25","Forest",0.00373179828223592
"US",14019,"26-50","Urban",0.00335925698718328
"US",14020,"1-25","Urban",0.005674117292574
"US",14020,"26-50","Urban",0.00430623742026176
"US",14021,"1-25","Grasslands",-0.00271681603274293
"US",14021,"26-50","Grasslands",-0.00748191565043848
"US",14023,"1-25","Shrubland",-0.00317210796744512
"US",14023,"26-50","Barren",-0.0028467725617159
"US",14024,"1-25","Urban",0.00192288966993684
"US",14024,"26-50","Urban",0.00172479160389676
"US",14025,"1-25","Agricultural",-0.00421169302789875
"US",14025,"26-50","Agricultural",-0.00569024282363784
"US",14026,"1-25","Urban",0.00189584396269137
"US",14026,"26-50","Barren",-0.00384694619277449
"US",14027,"1-25","Urban",0.00647711780690392
"US",14027,"26-50","Agricultural",-0.0044574075662692
"US",14029,"1-25","Barren",-0.00077809952979294
"US",14029,"26-50","Shrubland",-0.00806720573099452
"US",14030,"1-25","Barren",-0.00377432849727556
"US",14030,"26-50","Barren",-0.00499117242386976
"US",14031,"1-25","Barren",-0.0021231843770703
"US",14031,"26-50","Barren",0.00370371490711976
"US",14032,"1-25","Grasslands",-0.00414759312928536
"US",14032,"26-50","Grasslands",-0.0035300327386918
"US",14033,"1-25","Barren",-0.00431766958923385
"US",14033,"26-50","Urban",0.00138584475643805
"US",14034,"1-25","Grasslands",0.0044749611407718
"US",14034,"26-50","Shrubland",0.0125401506396206
"US",14035,"1-25","Barren",-0.00584895493604833
"US",14035,"26-50","Barren",0.00237978017649881
"US",14036,"1-25","Barren",-0.00177657509265251
"US",14036,"26-50","Grasslands",0.00115038761671641
"US",14037,"1-25","Shrubland",0.0028136986988242
"US",14037,"26-50","Barren",-0.00191011472181537
"US",14040,"1-25","Shrubland",0.00696789536266348
"US",14040,"26-50","Shrubland",0.00623355166833628
"US",14042,"1-25","Forest",0.00655479988605612
"US",14042,"26-50","Grasslands",-0.0059624146520903
"US",14043,"1-25","Shrubland",-0.0117731618008871
"US",14043,"26-50","Shrubland",-0.0189466802218961
"US",14044,"1-25","Urban",0.00227511109884346
"US",14044,"26-50","Barren",-0.00459608154675421
"US",14045,"1-25","Urban",0.00436805900705428
"US",14045,"26-50","Urban",0.0061295491364276
"US",14046,"1-25","Urban",0.00922326889147956
"US",14046,"26-50","Shrubland",-0.00659500072977412
"US",14047,"1-25","Shrubland",0.00250945572761912
"US",14047,"26-50","Forest",-0.00381696404261886
"US",14048,"1-25","Shrubland",-0.00684779995191152
"US",14048,"26-50","Shrubland",-0.00953618970482964
"US",14049,"1-25","Agricultural",0.00165361274648204
"US",14049,"26-50","Shrubland",-0.00313665341833604
"US",14050,"1-25","Urban",0.00681415518042432
"US",14050,"26-50","Urban",0.011680283621721
"US",14051,"1-25","Shrubland",-0.0193253850954117
"US",14051,"26-50","Grasslands",0.00888449581506576
"US",14052,"1-25","Agricultural",-0.00578088639381552
"US",14052,"26-50","Agricultural",-0.00294753743025728
"US",14053,"1-25","Shrubland",0.0100503554997909
"US",14053,"26-50","Shrubland",0.0126419625731371
"US",14054,"1-25","Grasslands",0.0130278791644016
"US",14054,"26-50","Grasslands",0.00828187950517072
"US",14055,"1-25","Forest",-0.0103654666391415
"US",14055,"26-50","Forest",-0.00532932987145384
"US",14056,"1-25","Shrubland",-0.0184771015078536
"US",14056,"26-50","Shrubland",-0.00134568744187772
"US",14058,"1-25","Barren",0.0054743249531523
"US",14058,"26-50","Shrubland",-0.00766860847030628
"US",14060,"1-25","Shrubland",0.00896812250803648
"US",14060,"26-50","Shrubland",0.00909014409726312
