"stateroute","country","class","deltaCover"
14002,"US",5,0.118005661305618
14007,"US",5,0.323329567192062
14009,"US",7,-0.027230540045227
14011,"US",7,-0.10921718152215
14012,"US",7,-0.101535841653635
14013,"US",4,-0.284685161703847
14016,"US",6,-0.060532585903324
14019,"US",7,-0.0793882277495655
14025,"US",6,-0.110546274734309
14026,"US",3,-0.0577699031608552
14033,"US",3,-0.0692089496691985
14034,"US",5,0.174987444687422
14041,"US",2,0.0518411312058726
14043,"US",5,-0.396398848038592
14044,"US",3,-0.0721749986117425
14047,"US",4,-0.0618383997922472
14048,"US",5,-0.200650835121769
14049,"US",5,-0.053681670620425
14050,"US",2,0.207463138620813
14052,"US",6,-0.115454529716254
14055,"US",4,-0.163988816234904
14057,"US",7,-0.109273712636647
14063,"US",5,-0.148706478125809
14064,"US",5,-0.07360100701579
14070,"US",5,-0.27220987391327
14073,"US",7,0.170459525167332
14089,"US",1,-0.057255803924387
14091,"US",2,0.243737457498759
14093,"US",5,-0.224433437689828
14095,"US",5,0.0905603586295232
14098,"US",2,0.0975267792047557
14103,"US",7,0.18250808753568
14105,"US",2,0.249319531412463
14106,"US",7,0.110976967607899
14109,"US",5,0.051145017820697
14112,"US",5,0.118489177356105
14113,"US",5,-0.056269842787745
14119,"US",4,-0.105242498901435
14121,"US",5,-0.0542042112143419
14129,"US",4,-0.147875911900004
14130,"US",4,-0.248471563137989
14132,"US",4,-0.431050276533562
14133,"US",2,0.083216516412242
14134,"US",5,0.192447819784224
14137,"US",7,-0.079285960781751
14140,"US",6,-0.158829082901043
14141,"US",4,-0.199882384806655
14142,"US",7,-0.146478805162163
14149,"US",7,-0.06690507794074
14151,"US",7,0.128880225528533
14152,"US",7,-0.110732502140297
14159,"US",2,0.0600946655346062
14160,"US",7,-0.276165491984995
14161,"US",5,0.456365906927872
14163,"US",4,-0.242687647609598
14165,"US",1,-0.127274880221522
14167,"US",4,-0.245781596788202
14171,"US",2,0.0397838101430429
14172,"US",7,-0.178086477420364
14174,"US",4,-0.153078277880625
14175,"US",5,0.114799557963664
14176,"US",7,0.130725880443909
14181,"US",5,0.165361729425649
14185,"US",5,0.0288150898457011
14186,"US",6,-0.34353593866834
14188,"US",4,-0.151609197416073
14189,"US",7,-0.142357881473434
14191,"US",5,0.096526171322032
14195,"US",5,0.088226560395194
14199,"US",4,-0.050524091394815
14201,"US",7,0.245608530618514
14202,"US",5,0.182131355818354
14203,"US",2,0.154803434858446
14204,"US",7,-0.056268908528901
14210,"US",5,0.0951753285284416
14220,"US",7,0.167597704599936
14226,"US",7,-0.105133607798967
14308,"US",5,-0.098803623524732
14313,"US",5,-0.052196874754323
14319,"US",7,-0.123524675025883
14320,"US",2,0.0798907768470618
14341,"US",7,0.179685248861824
14352,"US",7,-0.0528075019345504
14408,"US",6,-0.0416995979865137
14409,"US",4,-0.249495464274794
14429,"US",5,0.114846664065548
14435,"US",7,-0.0607237187654711
14436,"US",5,0.164840133023236
14536,"US",5,0.156999092200009
14902,"US",4,-0.115519610046312
14903,"US",4,-0.133750913257766
14905,"US",7,-0.0606185484616211
14908,"US",4,-0.0472216421147319
14909,"US",5,0.2495270645825
17004,"US",5,0.268337808262449
17005,"US",6,-0.060139175194358
17006,"US",7,-0.0177235524246699
17007,"US",2,0.0391058233542155
