"max_bins","stateroute","year_bin","n_years","n_bins"
4,4002,1990,4,4
4,4002,1995,5,4
4,4002,2000,5,4
4,4002,2005,6,4
4,4003,1990,3,4
4,4003,1995,4,4
4,4003,2000,5,4
4,4003,2005,6,4
4,4004,1990,4,4
4,4004,1995,5,4
4,4004,2000,5,4
4,4004,2005,6,4
4,4007,1990,5,4
4,4007,1995,5,4
4,4007,2000,5,4
4,4007,2005,6,4
4,4009,1990,5,4
4,4009,1995,5,4
4,4009,2000,3,4
4,4009,2005,6,4
4,4010,1990,5,4
4,4010,1995,4,4
4,4010,2000,5,4
4,4010,2005,6,4
4,4014,1990,4,4
4,4014,1995,5,4
4,4014,2000,5,4
4,4014,2005,6,4
4,4017,1990,4,4
4,4017,1995,5,4
4,4017,2000,5,4
4,4017,2005,6,4
4,4018,1990,5,4
4,4018,1995,5,4
4,4018,2000,5,4
4,4018,2005,6,4
4,4020,1990,4,4
4,4020,1995,4,4
4,4020,2000,4,4
4,4020,2005,6,4
4,4022,1990,5,4
4,4022,1995,5,4
4,4022,2000,5,4
4,4022,2005,6,4
4,4027,1990,5,4
4,4027,1995,4,4
4,4027,2000,5,4
4,4027,2005,6,4
4,4028,1990,5,4
4,4028,1995,4,4
4,4028,2000,5,4
4,4028,2005,6,4
4,4029,1990,5,4
4,4029,1995,4,4
4,4029,2000,5,4
4,4029,2005,4,4
4,4031,1990,5,4
4,4031,1995,4,4
4,4031,2000,4,4
4,4031,2005,4,4
4,4037,1990,5,4
4,4037,1995,4,4
4,4037,2000,3,4
4,4037,2005,5,4
4,4040,1990,5,4
4,4040,1995,5,4
4,4040,2000,5,4
4,4040,2005,6,4
4,4049,1990,3,4
4,4049,1995,4,4
4,4049,2000,4,4
4,4049,2005,6,4
4,4050,1990,4,4
4,4050,1995,3,4
4,4050,2000,4,4
4,4050,2005,5,4
4,4062,1990,3,4
4,4062,1995,5,4
4,4062,2000,4,4
4,4062,2005,5,4
4,4105,1990,5,4
4,4105,1995,4,4
4,4105,2000,5,4
4,4105,2005,6,4
4,4113,1990,4,4
4,4113,1995,5,4
4,4113,2000,5,4
4,4113,2005,4,4
4,4114,1990,5,4
4,4114,1995,5,4
4,4114,2000,5,4
4,4114,2005,6,4
4,4115,1990,5,4
4,4115,1995,5,4
4,4115,2000,5,4
4,4115,2005,6,4
4,4128,1990,5,4
4,4128,1995,5,4
4,4128,2000,5,4
4,4128,2005,6,4
4,4129,1990,5,4
4,4129,1995,5,4
4,4129,2000,5,4
4,4129,2005,6,4
4,4131,1990,3,4
4,4131,1995,5,4
4,4131,2000,5,4
4,4131,2005,6,4
4,4141,1990,4,4
4,4141,1995,5,4
4,4141,2000,5,4
4,4141,2005,6,4
4,4196,1990,3,4
4,4196,1995,5,4
4,4196,2000,3,4
4,4196,2005,6,4
4,4203,1990,3,4
4,4203,1995,3,4
4,4203,2000,4,4
4,4203,2005,3,4
4,4215,1990,3,4
4,4215,1995,3,4
4,4215,2000,5,4
4,4215,2005,4,4
4,4228,1990,3,4
4,4228,1995,5,4
4,4228,2000,3,4
4,4228,2005,4,4
4,4251,1990,5,4
4,4251,1995,3,4
4,4251,2000,4,4
4,4251,2005,5,4
4,4330,1990,3,4
4,4330,1995,4,4
4,4330,2000,5,4
4,4330,2005,6,4
4,11005,1990,3,4
4,11005,1995,4,4
4,11005,2000,4,4
4,11005,2005,6,4
4,11007,1990,5,4
4,11007,1995,5,4
4,11007,2000,4,4
4,11007,2005,5,4
4,11009,1990,5,4
4,11009,1995,5,4
4,11009,2000,5,4
4,11009,2005,6,4
4,11010,1990,5,4
4,11010,1995,5,4
4,11010,2000,4,4
4,11010,2005,5,4
4,11011,1990,4,4
4,11011,1995,5,4
4,11011,2000,5,4
4,11011,2005,3,4
4,11019,1990,3,4
4,11019,1995,5,4
4,11019,2000,3,4
4,11019,2005,4,4
4,11029,1990,4,4
4,11029,1995,5,4
4,11029,2000,4,4
4,11029,2005,4,4
4,11033,1990,5,4
4,11033,1995,4,4
4,11033,2000,5,4
4,11033,2005,6,4
4,11045,1990,5,4
4,11045,1995,4,4
4,11045,2000,5,4
4,11045,2005,6,4
4,11065,1990,5,4
4,11065,1995,5,4
4,11065,2000,5,4
4,11065,2005,6,4
4,11072,1990,4,4
4,11072,1995,3,4
4,11072,2000,3,4
4,11072,2005,4,4
4,11198,1990,4,4
4,11198,1995,3,4
4,11198,2000,3,4
4,11198,2005,6,4
4,11208,1990,5,4
4,11208,1995,5,4
4,11208,2000,5,4
4,11208,2005,6,4
4,11210,1990,5,4
4,11210,1995,5,4
4,11210,2000,5,4
4,11210,2005,3,4
4,11220,1990,5,4
4,11220,1995,3,4
4,11220,2000,5,4
4,11220,2005,5,4
4,11223,1990,5,4
4,11223,1995,5,4
4,11223,2000,5,4
4,11223,2005,6,4
4,11255,1990,5,4
4,11255,1995,5,4
4,11255,2000,5,4
4,11255,2005,6,4
4,11256,1990,4,4
4,11256,1995,5,4
4,11256,2000,5,4
4,11256,2005,5,4
4,11270,1990,4,4
4,11270,1995,5,4
4,11270,2000,4,4
4,11270,2005,6,4
4,11408,1990,5,4
4,11408,1995,5,4
4,11408,2000,3,4
4,11408,2005,6,4
4,11609,1990,4,4
4,11609,1995,5,4
4,11609,2000,4,4
4,11609,2005,6,4
4,11709,1990,5,4
4,11709,1995,5,4
4,11709,2000,5,4
4,11709,2005,6,4
4,43009,1990,3,4
4,43009,1995,3,4
4,43009,2000,4,4
4,43009,2005,6,4
4,45001,1990,4,4
4,45001,1995,5,4
4,45001,2000,3,4
4,45001,2005,6,4
4,45002,1990,5,4
4,45002,1995,5,4
4,45002,2000,5,4
4,45002,2005,6,4
4,45005,1990,5,4
4,45005,1995,5,4
4,45005,2000,5,4
4,45005,2005,6,4
4,45011,1990,4,4
4,45011,1995,5,4
4,45011,2000,3,4
4,45011,2005,3,4
4,45012,1990,5,4
4,45012,1995,4,4
4,45012,2000,4,4
4,45012,2005,6,4
4,45013,1990,4,4
4,45013,1995,5,4
4,45013,2000,5,4
4,45013,2005,6,4
4,45016,1990,4,4
4,45016,1995,3,4
4,45016,2000,4,4
4,45016,2005,3,4
4,45018,1990,5,4
4,45018,1995,5,4
4,45018,2000,5,4
4,45018,2005,6,4
4,45021,1990,4,4
4,45021,1995,5,4
4,45021,2000,5,4
4,45021,2005,6,4
4,45041,1990,4,4
4,45041,1995,4,4
4,45041,2000,3,4
4,45041,2005,5,4
4,45043,1990,5,4
4,45043,1995,4,4
4,45043,2000,3,4
4,45043,2005,6,4
4,45049,1990,4,4
4,45049,1995,4,4
4,45049,2000,4,4
4,45049,2005,5,4
4,45101,1990,5,4
4,45101,1995,4,4
4,45101,2000,5,4
4,45101,2005,4,4
4,45102,1990,5,4
4,45102,1995,5,4
4,45102,2000,5,4
4,45102,2005,6,4
4,45103,1990,5,4
4,45103,1995,3,4
4,45103,2000,5,4
4,45103,2005,5,4
4,45105,1990,5,4
4,45105,1995,4,4
4,45105,2000,5,4
4,45105,2005,5,4
4,45107,1990,5,4
4,45107,1995,5,4
4,45107,2000,5,4
4,45107,2005,6,4
4,45112,1990,4,4
4,45112,1995,4,4
4,45112,2000,4,4
4,45112,2005,6,4
4,45113,1990,4,4
4,45113,1995,5,4
4,45113,2000,4,4
4,45113,2005,6,4
4,45116,1990,4,4
4,45116,1995,3,4
4,45116,2000,5,4
4,45116,2005,4,4
4,56014,1990,5,4
4,56014,1995,5,4
4,56014,2000,5,4
4,56014,2005,3,4
4,56021,1990,3,4
4,56021,1995,5,4
4,56021,2000,5,4
4,56021,2005,5,4
4,56041,1990,5,4
4,56041,1995,5,4
4,56041,2000,5,4
4,56041,2005,6,4
4,56044,1990,5,4
4,56044,1995,5,4
4,56044,2000,5,4
4,56044,2005,6,4
4,65009,1990,5,4
4,65009,1995,5,4
4,65009,2000,4,4
4,65009,2005,6,4
4,65011,1990,5,4
4,65011,1995,5,4
4,65011,2000,5,4
4,65011,2005,6,4
4,65013,1990,3,4
4,65013,1995,3,4
4,65013,2000,4,4
4,65013,2005,6,4
4,65018,1990,4,4
4,65018,1995,5,4
4,65018,2000,3,4
4,65018,2005,5,4
4,65022,1990,3,4
4,65022,1995,4,4
4,65022,2000,4,4
4,65022,2005,4,4
4,65027,1990,3,4
4,65027,1995,5,4
4,65027,2000,5,4
4,65027,2005,6,4
4,65038,1990,4,4
4,65038,1995,5,4
4,65038,2000,3,4
4,65038,2005,3,4
4,68006,1990,5,4
4,68006,1995,5,4
4,68006,2000,5,4
4,68006,2005,6,4
4,68007,1990,5,4
4,68007,1995,4,4
4,68007,2000,5,4
4,68007,2005,4,4
4,68011,1990,5,4
4,68011,1995,5,4
4,68011,2000,4,4
4,68011,2005,5,4
4,68012,1990,5,4
4,68012,1995,5,4
4,68012,2000,5,4
4,68012,2005,6,4
4,68014,1990,5,4
4,68014,1995,5,4
4,68014,2000,5,4
4,68014,2005,6,4
4,68015,1990,5,4
4,68015,1995,5,4
4,68015,2000,5,4
4,68015,2005,6,4
4,68018,1990,4,4
4,68018,1995,5,4
4,68018,2000,5,4
4,68018,2005,6,4
4,68020,1990,5,4
4,68020,1995,4,4
4,68020,2000,4,4
4,68020,2005,5,4
4,68022,1990,5,4
4,68022,1995,5,4
4,68022,2000,5,4
4,68022,2005,6,4
4,68023,1990,4,4
4,68023,1995,4,4
4,68023,2000,5,4
4,68023,2005,5,4
4,68024,1990,4,4
4,68024,1995,5,4
4,68024,2000,5,4
4,68024,2005,3,4
4,68025,1990,5,4
4,68025,1995,5,4
4,68025,2000,5,4
4,68025,2005,6,4
4,68026,1990,5,4
4,68026,1995,5,4
4,68026,2000,5,4
4,68026,2005,6,4
4,68028,1990,5,4
4,68028,1995,5,4
4,68028,2000,5,4
4,68028,2005,6,4
4,68029,1990,4,4
4,68029,1995,3,4
4,68029,2000,5,4
4,68029,2005,4,4
4,68037,1990,5,4
4,68037,1995,4,4
4,68037,2000,5,4
4,68037,2005,6,4
4,68039,1990,5,4
4,68039,1995,3,4
4,68039,2000,4,4
4,68039,2005,6,4
4,68044,1990,5,4
4,68044,1995,4,4
4,68044,2000,5,4
4,68044,2005,4,4
4,68050,1990,5,4
4,68050,1995,5,4
4,68050,2000,4,4
4,68050,2005,5,4
4,68054,1990,4,4
4,68054,1995,5,4
