"stateroute","scale","focal_rte","trend_tmax","trend_tmin","cwm_all","cwm_core"
2001,1,2001,0.0452952660745342,0.0443300009913978,10.0909196055434,10.9739113315882
2001,2,2001,0.0452952660745342,0.0443300009913978,8.99687732263527,9.71479241430664
2001,3,2001,0.0355988488455478,0.0379711054830447,8.61967448853822,9.37835516856549
2001,4,2001,0.0329396693916762,0.0268582591426811,8.40966070894899,9.14326785299744
2001,5,2001,0.0329396693916762,0.0268582591426811,8.44410821711475,9.18222504002036
2001,6,2001,0.0328864123990752,0.032157662064405,8.18316629407158,8.85657483872197
2001,7,2001,0.0328864123990752,0.032157662064405,8.16815967811635,8.85335410108178
2001,8,2001,0.0319984748131917,0.0269622856122179,8.10632492766627,8.7667053848346
2001,9,2001,0.0319984748131917,0.0269622856122179,8.00425364385716,8.65703751961623
2001,10,2001,0.031604810689348,0.0312989246771287,7.92149892154994,8.52526713991168
2001,11,2001,0.0311250564471568,0.0354395840820306,7.82747821874951,8.39152287373529
2001,12,2001,0.0311250564471568,0.0354395840820306,7.87315337318863,8.44543947524055
2001,13,2001,0.0298946120661632,0.0341107320690105,7.81625529092143,8.42042226069517
2001,14,2001,0.0314943247607684,0.0344591543555234,7.80880601489474,8.40639279357567
2001,15,2001,0.0320619278006039,0.0362582568414036,7.79356725548251,8.37896362617811
2001,16,2001,0.0308116098180478,0.0347578495643287,7.74575013281371,8.33261124308495
2001,17,2001,0.0308116098180478,0.0347578495643287,7.76536199119461,8.35874409966195
2001,18,2001,0.0308116098180478,0.0347578495643287,7.75415263348271,8.33181197173016
2001,19,2001,0.0308116098180478,0.0347578495643287,7.72827376056806,8.32981137366581
2001,20,2001,0.0308116098180478,0.0347578495643287,7.699368742078,8.29781687236098
2001,21,2001,0.0288736615651667,0.0339336992520686,7.67747358907613,8.27803763649212
2001,22,2001,0.0293408405223385,0.0357371387940445,7.66595892730065,8.26867549346642
2001,23,2001,0.0293408405223385,0.0357371387940445,7.66852473786455,8.22636699238827
2001,24,2001,0.0294213837602188,0.0366005364773865,7.63881463651794,8.18602180725708
2001,25,2001,0.0294213837602188,0.0366005364773865,7.60443450943809,8.16340028056459
2007,1,2007,NA,NA,10.0416304517644,10.9968248153681
2007,2,2007,0.0496151000522011,0.0455544044637031,9.47500107312302,10.2176581488483
2007,3,2007,0.0354134721785804,0.0369019590558934,9.06322703135433,9.66829249117604
2007,4,2007,0.0383519666707747,0.0327336465025404,8.92666616809973,9.50903394263584
2007,5,2007,0.041466825167507,0.0342401788037408,8.74614151346705,9.20414934332945
2007,6,2007,0.0376770465836944,0.0370504993830764,8.70455309052926,9.08842143923762
2007,7,2007,0.0355231331540337,0.0371354635566842,8.82610137246046,9.17694254153387
2007,8,2007,0.0355231331540337,0.0371354635566842,8.77657842675395,9.1322893168533
2007,9,2007,0.0354598064980431,0.0361603678643947,8.68949168801399,9.02953195556137
2007,10,2007,0.0354598064980431,0.0361603678643947,8.70196785361132,9.06377947980046
2007,11,2007,0.0346507962358244,0.0362035549628665,8.74466487364375,9.07127229814491
2007,12,2007,0.0346507962358244,0.0362035549628665,8.85760029078587,9.18347904924117
2007,13,2007,0.0346507962358244,0.0362035549628665,8.75683280951001,9.18923045558277
2007,14,2007,0.033081920838831,0.0367921648423525,8.68795664538195,9.10481405377329
2007,15,2007,0.0317973294358851,0.0369184652565177,8.59950723163453,9.07003757484338
2007,16,2007,0.0308605697487821,0.037472031530993,8.61969504040234,9.11962795634933
2007,17,2007,0.0319306954580015,0.0378085291316232,8.59088736240042,9.06989387440345
2007,18,2007,0.0329304762885904,0.0389180104566439,8.57034950721071,9.04368512059731
2007,19,2007,0.0340567285187096,0.0399901568822828,8.55326738337046,9.05464714302554
2007,20,2007,0.0332802039281361,0.0422862140401028,8.51728472161094,9.03937685274279
2007,21,2007,0.0336297387132691,0.0438802509205679,8.43912391967078,8.98925570086572
2007,22,2007,0.0331025093782945,0.0447849196589624,8.40551159879571,8.97310211695109
2007,23,2007,0.0335405888404937,0.0457345617645229,8.35037575043202,8.96334257576657
2007,24,2007,0.0329400010788838,0.0463079316298536,8.35616941481172,8.95081440025125
2007,25,2007,0.0321166811929845,0.0470867476425354,8.32422429543626,8.92261903487965
2010,1,2010,0.0496632603636841,0.0472081743818368,9.53480390816549,9.97188615552439
2010,2,2010,0.0417139850745042,0.0407229068482451,9.13070159544315,9.69622485771061
2010,3,2010,0.0443136776399135,0.0452100186598636,8.90449664486835,9.48745762972282
2010,4,2010,0.0449969875657927,0.0431151698117916,8.71442622828222,9.2923266728572
2010,5,2010,0.0478310031320474,0.047763626747287,8.86337370971033,9.4106211269779
2010,6,2010,0.0450099903323838,0.0531661978035278,8.73731705406194,9.28719933962167
2010,7,2010,0.0430895654682732,0.0569567369006774,8.65201175330093,9.20657944123623
2010,8,2010,0.0416700392434603,0.0580050733350955,8.34967932390196,8.99525605198827
2010,9,2010,0.0403645053901701,0.0571701948443915,8.24838769746235,8.8868558027672
2010,10,2010,0.0398147145910921,0.0565982208114572,8.13713370526753,8.7902657236349
2010,11,2010,0.0397970177865222,0.0577432230909778,8.04286888206309,8.73066191672299
2010,12,2010,0.0389813384637742,0.0595776375285916,8.09278141590471,8.78621069944109
2010,13,2010,0.0374515769265219,0.059290531036824,7.9143562047201,8.61320330309292
2010,14,2010,0.0366877002129545,0.0597712370950247,7.83439513102557,8.49783606755109
2010,15,2010,0.0360540199591291,0.0599004228061363,7.82275924807194,8.45696022261569
2010,16,2010,0.0360540199591291,0.0599004228061363,7.82341663227846,8.47248876225719
2010,17,2010,0.0360540199591291,0.0599004228061363,7.84443976126268,8.51257691666974
2010,18,2010,0.0360540199591291,0.0599004228061363,7.92720726750367,8.6011582096574
2010,19,2010,0.0330461104576089,0.0615310641575366,7.87018490545057,8.54678431101313
2010,20,2010,0.030804288421064,0.0626111873853424,7.91399346672603,8.61746536733982
2010,21,2010,0.029628715727551,0.0627778946827719,7.97292236872015,8.63883720715441
2010,22,2010,0.029628715727551,0.0627778946827719,7.91725920048704,8.58742451951454
2010,23,2010,0.0299452396568932,0.0629827203088257,7.89543979138319,8.53055725548514
