"focal_rte","spp_excl_dir","Foraging","excl_dir","dir_diff"
2001,0.543088592006235,"ground glean",0.50007810819375,0.0430104838124854
2001,0.543088592006235,"foliage glean",0.528278511069423,0.0148100809368118
2001,0.543088592006235,"bark glean",0.53638072723097,0.00670786477526508
2001,0.543088592006235,"aerial foraging",0.524222251065854,0.0188663409403813
2001,0.543088592006235,"hover/glean",0.522762276413692,0.0203263155925435
2001,0.543088592006235,"hawks",0.515139476415378,0.0279491155908566
2001,0.543088592006235,"swoops",0.520116674313916,0.0229719176923192
2007,0.575899591429867,"ground glean",0.515435525652171,0.060464065777696
2007,0.575899591429867,"foliage glean",0.519253848352928,0.0566457430769393
2007,0.575899591429867,"bark glean",0.536576637314974,0.0393229541148933
2007,0.575899591429867,"aerial foraging",0.514301952171592,0.0615976392582749
2007,0.575899591429867,"hover/glean",0.525491869049393,0.0504077223804739
2007,0.575899591429867,"hawks",0.526005878650527,0.0498937127793405
2007,0.575899591429867,"swoops",0.521552523015322,0.0543470684145448
2010,0.546043850362425,"ground glean",0.449936132198564,0.0961077181638606
2010,0.546043850362425,"foliage glean",0.549280603313841,-0.00323675295141579
2010,0.546043850362425,"bark glean",0.492884766762741,0.0531590835996836
2010,0.546043850362425,"aerial foraging",0.502072225222313,0.0439716251401121
2010,0.546043850362425,"hover/glean",0.501038082000894,0.0450057683615314
2010,0.546043850362425,"hawks",0.506601348706426,0.0394425016559987
2010,0.546043850362425,"swoops",0.500574917084082,0.0454689332783429
2017,0.462962187980703,"ground glean",0.427325106607957,0.0356370813727463
2017,0.462962187980703,"foliage glean",0.406044038074856,0.0569181499058471
2017,0.462962187980703,"bark glean",0.428391440315701,0.0345707476650016
2017,0.462962187980703,"aerial foraging",0.411396239163613,0.0515659488170896
2017,0.462962187980703,"hover/glean",0.428201386884817,0.0347608010958861
2017,0.462962187980703,"hawks",0.422384113480658,0.0405780745000451
2019,0.539204152880775,"ground glean",0.501862836480827,0.0373413163999479
2019,0.539204152880775,"foliage glean",0.522030304509928,0.0171738483708471
2019,0.539204152880775,"bark glean",0.531619913593442,0.00758423928733343
2019,0.539204152880775,"aerial foraging",0.514302581569418,0.0249015713113571
2019,0.539204152880775,"hover/glean",0.519479013753598,0.0197251391271773
2019,0.539204152880775,"hawks",0.51086109258887,0.0283430602919051
2019,0.539204152880775,"swoops",0.516242979880578,0.0229611730001967
2020,0.577744208923398,"ground glean",0.519358324573952,0.0583858843494455
2020,0.577744208923398,"foliage glean",0.560927307804927,0.0168169011184706
2020,0.577744208923398,"bark glean",0.562820234104042,0.0149239748193555
2020,0.577744208923398,"aerial foraging",0.539636356502906,0.0381078524204923
2020,0.577744208923398,"hover/glean",0.546019150097154,0.031725058826244
2020,0.577744208923398,"hawks",0.534495530164141,0.0432486787592572
2020,0.577744208923398,"swoops",0.540697190341991,0.0370470185814072
2022,0.574516512309277,"ground glean",0.519364681233612,0.0551518310756652
2022,0.574516512309277,"foliage glean",0.558969425858756,0.0155470864505206
2022,0.574516512309277,"bark glean",0.555029787099735,0.0194867252095421
2022,0.574516512309277,"aerial foraging",0.533591550822036,0.0409249614872415
2022,0.574516512309277,"hover/glean",0.540950549404807,0.03356596290447
2022,0.574516512309277,"hawks",0.530239150352744,0.0442773619565329
2022,0.574516512309277,"swoops",0.534784661075861,0.0397318512334158
2025,0.587720218983984,"ground glean",0.530812753456442,0.0569074655275416
2025,0.587720218983984,"foliage glean",0.589424630695376,-0.00170441171139246
2025,0.587720218983984,"bark glean",0.578971741720081,0.0087484772639026
2025,0.587720218983984,"aerial foraging",0.561146913860285,0.0265733051236985
2025,0.587720218983984,"hover/glean",0.567606635230678,0.0201135837533059
2025,0.587720218983984,"hawks",0.562340295389587,0.0253799235943968
2025,0.587720218983984,"swoops",0.561945474524104,0.0257747444598797
2029,0.566775876614458,"ground glean",0.496515060818541,0.0702608157959172
2029,0.566775876614458,"foliage glean",0.555382000421031,0.0113938761934268
2029,0.566775876614458,"bark glean",0.551224544998061,0.0155513316163974
2029,0.566775876614458,"aerial foraging",0.529553444395417,0.0372224322190411
2029,0.566775876614458,"hover/glean",0.536107549033329,0.0306683275811295
2029,0.566775876614458,"hawks",0.529541677303279,0.0372341993111792
2029,0.566775876614458,"swoops",0.529740432036566,0.0370354445778924
2035,0.578353415721721,"ground glean",0.520750311532244,0.0576031041894767
2035,0.578353415721721,"foliage glean",0.572098113222015,0.00625530249970652
2035,0.578353415721721,"bark glean",0.568566348707939,0.00978706701378163
2035,0.578353415721721,"aerial foraging",0.5464860372355,0.031867378486221
2035,0.578353415721721,"hawks",0.54572167873802,0.0326317369837009
2035,0.578353415721721,"swoops",0.550229947290415,0.0281234684313056
2035,0.578353415721721,"hover/glean",0.555032692072362,0.0233207236493588
2036,0.577170077301248,"ground glean",0.522536094691868,0.0546339826093798
2036,0.577170077301248,"foliage glean",0.565192273034933,0.0119778042663149
2036,0.577170077301248,"bark glean",0.566061140328419,0.0111089369728286
2036,0.577170077301248,"aerial foraging",0.541566159429398,0.0356039178718502
2036,0.577170077301248,"hover/glean",0.548611938693376,0.0285581386078719
2036,0.577170077301248,"hawks",0.536964626473987,0.040205450827261
2036,0.577170077301248,"swoops",0.543948958271402,0.033221119029846
2043,0.576609476788306,"ground glean",0.521957078997368,0.0546523977909378
2043,0.576609476788306,"foliage glean",0.569433627128353,0.00717584965995344
2043,0.576609476788306,"bark glean",0.564729668516984,0.0118798082713224
2043,0.576609476788306,"aerial foraging",0.547888682579031,0.0287207942092752
2043,0.576609476788306,"hover/glean",0.553405917234544,0.023203559553762
2043,0.576609476788306,"hawks",0.547932940581642,0.0286765362066641
2043,0.576609476788306,"swoops",0.549649893415819,0.0269595833724868
2045,0.543088592006235,"ground glean",0.50007810819375,0.0430104838124854
2045,0.543088592006235,"foliage glean",0.528278511069423,0.0148100809368118
2045,0.543088592006235,"bark glean",0.53638072723097,0.00670786477526508
2045,0.543088592006235,"aerial foraging",0.524222251065854,0.0188663409403813
2045,0.543088592006235,"hover/glean",0.522762276413692,0.0203263155925435
2045,0.543088592006235,"hawks",0.515139476415378,0.0279491155908566
2045,0.543088592006235,"swoops",0.520116674313916,0.0229719176923192
2047,0.552954612160367,"ground glean",0.507170614543685,0.0457839976166817
2047,0.552954612160367,"foliage glean",0.533705701122512,0.0192489110378548
2047,0.552954612160367,"bark glean",0.541802419865697,0.0111521922946702
2047,0.552954612160367,"aerial foraging",0.521261571873238,0.0316930402871294
2047,0.552954612160367,"hover/glean",0.531874351470766,0.021080260689601
2047,0.552954612160367,"hawks",0.52309132665735,0.0298632855030173
2047,0.552954612160367,"swoops",0.525948512409499,0.0270060997508684
2050,0.572695136876591,"ground glean",0.513424720862951,0.0592704160136405
2050,0.572695136876591,"foliage glean",0.566024210496636,0.00667092637995548
