"aou","n_regions","SPEC","COMMONNAME","SCINAME","SPEC6","species_id","french_common_name","spanish_common_name","sporder","family","genus","species"
2890,81,"NOBO","Northern Bobwhite","Colinus virginianus","COLVIR",89,"Colin de Virginie","Colinus virginianus","Galliformes","Odontophoridae","Colinus","virginianus"
22860,60,"EUCD","Eurasian Collared-Dove","Streptopelia decaocto","STRDEC",140,"Tourterelle turque","Streptopelia decaocto","Columbiformes","Columbidae","Streptopelia","decaocto"
6120,50,"CLSW","Cliff Swallow","Petrochelidon pyrrhonota","PETPYR",1025,"Hirondelle à front blanc","Petrochelidon pyrrhonota","Passeriformes","Hirundinidae","Petrochelidon","pyrrhonota"
6140,31,"TRES","Tree Swallow","Tachycineta bicolor","TACBIC",1016,"Hirondelle bicolore","Tachycineta bicolor","Passeriformes","Hirundinidae","Tachycineta","bicolor"
5190,30,"HOFI","House Finch","Haemorhous mexicanus","HAEMEX",1222,"Roselin familier","Haemorhous mexicanus","Passeriformes","Fringillidae","Haemorhous","mexicanus"
3091,25,"RNEP","Ring-necked Pheasant","Phasianus colchicus","PHACOL",103,"Faisan de Colchide","Phasianus colchicus","Galliformes","Phasianidae","Phasianus","colchicus"
4860,20,"CORA","Common Raven","Corvus corax","CORCOX",1006,"Grand Corbeau","Corvus corax","Passeriformes","Corvidae","Corvus","corax"
3100,19,"WITU","Wild Turkey","Meleagris gallopavo","MELGAL",118,"Dindon sauvage","Meleagris gallopavo","Galliformes","Phasianidae","Meleagris","gallopavo"
6882,17,"HOSP","House Sparrow","Passer domesticus","PASDOM",1195,"Moineau domestique","Passer domesticus","Passeriformes","Passeridae","Passer","domesticus"
4740,16,"HOLA","Horned Lark","Eremophila alpestris","EREALP",1009,"Alouette hausse-col","Eremophila alpestris","Passeriformes","Alaudidae","Eremophila","alpestris"
4930,15,"EUST","European Starling","Sturnus vulgaris","STUVUL",1181,"Étourneau sansonnet","Sturnus vulgaris","Passeriformes","Sturnidae","Sturnus","vulgaris"
5110,15,"COGR","Common Grackle","Quiscalus quiscula","QUIQUI",1474,"Quiscale bronzé","Quiscalus quiscula","Passeriformes","Icteridae","Quiscalus","quiscula"
4090,14,"RBWO","Red-bellied Woodpecker","Melanerpes carolinus","MELCAR",734,"Pic à ventre roux","Melanerpes carolinus","Piciformes","Picidae","Melanerpes","carolinus"
5140,14,"EVGR","Evening Grosbeak","Coccothraustes vespertinus","COCVES",1243,"Gros-bec errant","Coccothraustes vespertinus","Passeriformes","Fringillidae","Coccothraustes","vespertinus"
3131,12,"ROPI","Rock Pigeon","Columba livia","COLLIV",129,"Pigeon biset","Columba livia","Columbiformes","Columbidae","Columba","livia"
5011,12,"WEME","Western Meadowlark","Sturnella neglecta","STUNEG",1468,"Sturnelle de l'Ouest","Sturnella neglecta","Passeriformes","Icteridae","Sturnella","neglecta"
6110,12,"PUMA","Purple Martin","Progne subis","PROSUB",1010,"Hirondelle noire","Progne subis","Passeriformes","Hirundinidae","Progne","subis"
7550,12,"WOTH","Wood Thrush","Hylocichla mustelina","HYLMUS",1145,"Grive des bois","Hylocichla mustelina","Passeriformes","Turdidae","Hylocichla","mustelina"
