"aou","n_regions","SPEC","COMMONNAME","SCINAME","SPEC6","species_id","french_common_name","spanish_common_name","sporder","family","genus","species"
22860,129,"EUCD","Eurasian Collared-Dove","Streptopelia decaocto","STRDEC",140,"Tourterelle turque","Streptopelia decaocto","Columbiformes","Columbidae","Streptopelia","decaocto"
2890,109,"NOBO","Northern Bobwhite","Colinus virginianus","COLVIR",89,"Colin de Virginie","Colinus virginianus","Galliformes","Odontophoridae","Colinus","virginianus"
6120,98,"CLSW","Cliff Swallow","Petrochelidon pyrrhonota","PETPYR",1025,"Hirondelle à front blanc","Petrochelidon pyrrhonota","Passeriformes","Hirundinidae","Petrochelidon","pyrrhonota"
6882,65,"HOSP","House Sparrow","Passer domesticus","PASDOM",1195,"Moineau domestique","Passer domesticus","Passeriformes","Passeridae","Passer","domesticus"
6140,63,"TRES","Tree Swallow","Tachycineta bicolor","TACBIC",1016,"Hirondelle bicolore","Tachycineta bicolor","Passeriformes","Hirundinidae","Tachycineta","bicolor"
5010,53,"EAME","Eastern Meadowlark","Sturnella magna","STUMAG",1467,"Sturnelle des prés","Sturnella magna","Passeriformes","Icteridae","Sturnella","magna"
4090,49,"RBWO","Red-bellied Woodpecker","Melanerpes carolinus","MELCAR",734,"Pic à ventre roux","Melanerpes carolinus","Piciformes","Picidae","Melanerpes","carolinus"
5190,47,"HOFI","House Finch","Haemorhous mexicanus","HAEMEX",1222,"Roselin familier","Haemorhous mexicanus","Passeriformes","Fringillidae","Haemorhous","mexicanus"
3091,40,"RNEP","Ring-necked Pheasant","Phasianus colchicus","PHACOL",103,"Faisan de Colchide","Phasianus colchicus","Galliformes","Phasianidae","Phasianus","colchicus"
5011,30,"WEME","Western Meadowlark","Sturnella neglecta","STUNEG",1468,"Sturnelle de l'Ouest","Sturnella neglecta","Passeriformes","Icteridae","Sturnella","neglecta"
7550,24,"WOTH","Wood Thrush","Hylocichla mustelina","HYLMUS",1145,"Grive des bois","Hylocichla mustelina","Passeriformes","Turdidae","Hylocichla","mustelina"
5100,23,"BRBL","Brewer's Blackbird","Euphagus cyanocephalus","EUPCYC",1473,"Quiscale de Brewer","Euphagus cyanocephalus","Passeriformes","Icteridae","Euphagus","cyanocephalus"
6160,23,"BANS","Bank Swallow","Riparia riparia","RIPRIP",1024,"Hirondelle de rivage","Riparia riparia","Passeriformes","Hirundinidae","Riparia","riparia"
4740,21,"HOLA","Horned Lark","Eremophila alpestris","EREALP",1009,"Alouette hausse-col","Eremophila alpestris","Passeriformes","Alaudidae","Eremophila","alpestris"
4940,21,"BOBO","Bobolink","Dolichonyx oryzivorus","DOLORY",1463,"Goglu des prés","Dolichonyx oryzivorus","Passeriformes","Icteridae","Dolichonyx","oryzivorus"
3131,19,"ROPI","Rock Pigeon","Columba livia","COLLIV",129,"Pigeon biset","Columba livia","Columbiformes","Columbidae","Columba","livia"
5420,19,"SAVS","Savannah Sparrow","Passerculus sandwichensis","PASSAN",1395,"Bruant des prés","Passerculus sandwichensis","Passeriformes","Emberizidae","Passerculus","sandwichensis"
6130,19,"BARS","Barn Swallow","Hirundo rustica","HIRRUS",1028,"Hirondelle rustique","Hirundo rustica","Passeriformes","Hirundinidae","Hirundo","rustica"
3100,17,"WITU","Wild Turkey","Meleagris gallopavo","MELGAL",118,"Dindon sauvage","Meleagris gallopavo","Galliformes","Phasianidae","Meleagris","gallopavo"
5110,17,"COGR","Common Grackle","Quiscalus quiscula","QUIQUI",1474,"Quiscale bronzé","Quiscalus quiscula","Passeriformes","Icteridae","Quiscalus","quiscula"
4860,16,"CORA","Common Raven","Corvus corax","CORCOX",1006,"Grand Corbeau","Corvus corax","Passeriformes","Corvidae","Corvus","corax"
5330,15,"PISI","Pine Siskin","Spinus pinus","SPIPIN",1233,"Tarin des pins","Spinus pinus","Passeriformes","Fringillidae","Spinus","pinus"
5460,12,"GRSP","Grasshopper Sparrow","Ammodramus savannarum","AMMSAV",1396,"Bruant sauterelle","Ammodramus savannarum","Passeriformes","Emberizidae","Ammodramus","savannarum"
5140,9,"EVGR","Evening Grosbeak","Coccothraustes vespertinus","COCVES",1243,"Gros-bec errant","Coccothraustes vespertinus","Passeriformes","Fringillidae","Coccothraustes","vespertinus"
6680,8,"TOWA","Townsend's Warbler","Setophaga townsendi","SETTOW",1302,"Paruline de Townsend","Setophaga townsendi","Passeriformes","Parulidae","Setophaga","townsendi"
6830,7,"YBCH","Yellow-breasted Chat","Icteria virens","ICTVIR",1319,"Paruline polyglotte","Icteria virens","Passeriformes","Parulidae","Icteria","virens"
4880,6,"AMCR","American Crow","Corvus brachyrhynchos","CORBRA",998,"Corneille d'Amérique","Corvus brachyrhynchos","Passeriformes","Corvidae","Corvus","brachyrhynchos"
4950,5,"BHCO","Brown-headed Cowbird","Molothrus ater","MOLATE",1480,"Vacher à tête brune","Molothrus ater","Passeriformes","Icteridae","Molothrus","ater"
7030,5,"NOMO","Northern Mockingbird","Mimus polyglottos","MIMPOL",1180,"Moqueur polyglotte","Mimus polyglottos","Passeriformes","Mimidae","Mimus","polyglottos"
5960,3,"BHGR","Black-headed Grosbeak","Pheucticus melanocephalus","PHEMEL",1448,"Cardinal à tête noire","Pheucticus melanocephalus","Passeriformes","Cardinalidae","Pheucticus","melanocephalus"
6650,1,"BTYW","Black-throated Gray Warbler","Setophaga nigrescens","SETNIG",1301,"Paruline grise","Setophaga nigrescens","Passeriformes","Parulidae","Setophaga","nigrescens"
7180,1,"CARW","Carolina Wren","Thryothorus ludovicianus","THRLUD",1069,"Troglodyte de Caroline","Thryothorus ludovicianus","Passeriformes","Troglodytidae","Thryothorus","ludovicianus"
7480,1,"GCKI","Golden-crowned Kinglet","Regulus satrapa","REGSAT",1099,"Roitelet à couronne dorée","Regulus satrapa","Passeriformes","Regulidae","Regulus","satrapa"
