"aou","CommonName","sci_name","Breeding.Biome","migclass","Foraging","Trophic.Group"
2890,"Northern Bobwhite","Colinus virginianus","Eastern Forest","resid","ground glean","herbivore"
3131,"Rock Dove",NA,NA,"resid","ground glean","granivore"
3160,"Mourning Dove","Zenaida macroura","Habitat Generalist","short","ground glean","granivore"
3870,"Yellow-billed Cuckoo","Coccyzus americanus","Eastern Forest","neotrop","foliage glean","insectivore"
3930,"Hairy Woodpecker","Dryobates villosus","Forest Generalist","resid","bark glean","insectivore"
3940,"Downy Woodpecker","Dryobates pubescens","Forest Generalist","resid","bark glean","insectivore"
4050,"Pileated Woodpecker","Dryocopus pileatus","Eastern Forest","resid","bark glean","insectivore"
4060,"Red-headed Woodpecker","Melanerpes erythrocephalus","Eastern Forest","short","bark glean","omnivore"
4090,"Red-bellied Woodpecker","Melanerpes carolinus","Eastern Forest","resid","bark glean","insectivore"
4120,"Northern Flicker","Colaptes auratus","Forest Generalist","resid","ground glean","insectivore"
4230,"Chimney Swift","Chaetura pelagica","Eastern Forest","neotrop","aerial foraging","insectivore"
4280,"Ruby-throated Hummingbird","Archilochus colubris","Eastern Forest","neotrop","hover/glean","nectarivore"
4440,"Eastern Kingbird","Tyrannus tyrannus","Grassland","neotrop","hawks","insectivore"
4520,"Great Crested Flycatcher","Myiarchus crinitus","Eastern Forest","neotrop","hawks","insectivore"
4560,"Eastern Phoebe","Sayornis phoebe","Eastern Forest","short","hawks","insectivore"
4610,"Eastern Wood-Pewee","Contopus virens","Eastern Forest","neotrop","hawks","insectivore"
4650,"Acadian Flycatcher","Empidonax virescens","Eastern Forest","neotrop","hawks","insectivore"
4740,"Horned Lark","Eremophila alpestris","Grassland","short","ground glean","granivore"
4770,"Blue Jay","Cyanocitta cristata","Eastern Forest","short","ground glean","omnivore"
4880,"American Crow","Corvus brachyrhynchos","Habitat Generalist","short","ground glean","omnivore"
4930,"European Starling","Sturnus vulgaris","Introduced","short","ground glean","insectivore"
4950,"Brown-headed Cowbird","Molothrus ater","Habitat Generalist","short","ground glean","insectivore"
4980,"Red-winged Blackbird","Agelaius phoeniceus","Habitat Generalist","short","ground glean","insectivore"
5010,"Eastern Meadowlark","Sturnella magna","Grassland","short","ground glean","insct/om"
5060,"Orchard Oriole","Icterus spurius","Eastern Forest","neotrop","foliage glean","insct/om"
5110,"Common Grackle","Quiscalus quiscula","Habitat Generalist","short","ground glean","omnivore"
5190,"House Finch","Haemorhous mexicanus","Habitat Generalist","short","ground glean","granivore"
5290,"American Goldfinch","Spinus tristis","Forest Generalist","short","foliage glean","granivore"
5460,"Grasshopper Sparrow","Ammodramus savannarum","Grassland","neotrop","ground glean","insct/om"
5600,"Chipping Sparrow","Spizella passerina","Forest Generalist","neotrop","ground glean","insct/om"
5630,"Field Sparrow","Spizella pusilla","Eastern Forest","short","ground glean","insct/om"
5810,"Song Sparrow","Melospiza melodia","Habitat Generalist","short","ground glean","insct/om"
5870,"Eastern Towhee","Pipilo erythrophthalmus","Eastern Forest","short","ground glean","insct/om"
5930,"Northern Cardinal","Cardinalis cardinalis","Eastern Forest","resid","ground glean","insct/om"
5970,"Blue Grosbeak","Passerina caerulea","Forest Generalist","neotrop","ground glean","insectivore"
5980,"Indigo Bunting","Passerina cyanea","Eastern Forest","neotrop","ground glean","insct/om"
6040,"Dickcissel","Spiza americana","Grassland","neotrop","ground glean","insct/om"
6080,"Scarlet Tanager","Piranga olivacea","Eastern Forest","neotrop","hover/glean","insectivore"
6100,"Summer Tanager","Piranga rubra","Eastern Forest","neotrop","foliage glean","insectivore"
6110,"Purple Martin","Progne subis","Habitat Generalist","neotrop","aerial foraging","insectivore"
6120,"Cliff Swallow","Petrochelidon pyrrhonota","Habitat Generalist","neotrop","aerial foraging","insectivore"
6130,"Barn Swallow","Hirundo rustica","Habitat Generalist","neotrop","aerial foraging","insectivore"
6170,"Northern Rough-winged Swallow","Stelgidopteryx serripennis","Habitat Generalist","neotrop","aerial foraging","insectivore"
6190,"Cedar Waxwing","Bombycilla cedrorum","Forest Generalist","short","foliage glean","insct/om"
6220,"Loggerhead Shrike","Lanius ludovicianus","Grassland","short","swoops","insectivore"
6240,"Red-eyed Vireo","Vireo olivaceus","Forest Generalist","neotrop","hover/glean","insectivore"
6280,"Yellow-throated Vireo","Vireo flavifrons","Eastern Forest","neotrop","foliage glean","insectivore"
6310,"White-eyed Vireo","Vireo griseus","Eastern Forest","neotrop","foliage glean","insectivore"
6480,"Northern Parula","Setophaga americana","Forest Generalist","neotrop","foliage glean","insectivore"
6630,"Yellow-throated Warbler","Setophaga dominica","Eastern Forest","neotrop","bark glean","insectivore"
6710,"Pine Warbler","Setophaga pinus","Eastern Forest","short","bark glean","insct/om"
6730,"Prairie Warbler","Setophaga discolor","Eastern Forest","neotrop","foliage glean","insectivore"
6760,"Louisiana Waterthrush","Parkesia motacilla","Eastern Forest","neotrop","ground glean","insectivore"
6770,"Kentucky Warbler","Geothlypis formosa","Eastern Forest","neotrop","ground glean","insectivore"
6810,"Common Yellowthroat","Geothlypis trichas","Habitat Generalist","neotrop","foliage glean","insectivore"
6830,"Yellow-breasted Chat","Icteria virens","Eastern Forest","neotrop","foliage glean","insct/om"
6840,"Hooded Warbler","Setophaga citrina","Eastern Forest","neotrop","foliage glean","insectivore"
6882,"House Sparrow","Passer domesticus","Introduced","resid","ground glean","insct/om"
7030,"Northern Mockingbird","Mimus polyglottos","Habitat Generalist","resid","ground glean","insectivore"
7040,"Gray Catbird","Dumetella carolinensis","Eastern Forest","neotrop","ground glean","insct/om"
7050,"Brown Thrasher","Toxostoma rufum","Eastern Forest","short","ground glean","omnivore"
7180,"Carolina Wren","Thryothorus ludovicianus","Eastern Forest","resid","ground glean","insectivore"
7210,"House Wren","Troglodytes aedon","Forest Generalist","neotrop","ground glean","insectivore"
7270,"White-breasted Nuthatch","Sitta carolinensis","Forest Generalist","resid","bark glean","insectivore"
7310,"Tufted Titmouse","Baeolophus bicolor","Eastern Forest","resid","foliage glean","insectivore"
7360,"Carolina Chickadee","Poecile carolinensis","Eastern Forest","resid","foliage glean","insectivore"
7510,"Blue-gray Gnatcatcher","Polioptila caerulea","Habitat Generalist","neotrop","foliage glean","insectivore"
7550,"Wood Thrush","Hylocichla mustelina","Eastern Forest","neotrop","ground glean","insectivore"
7610,"American Robin","Turdus migratorius","Forest Generalist","short","ground glean","insct/om"
7660,"Eastern Bluebird","Sialia sialis","Eastern Forest","short","hawks","insectivore"
22860,"Eurasian Collared-Dove","Streptopelia decaocto","Introduced","resid","ground glean","granivore"
3100,"Wild Turkey","Meleagris gallopavo","Forest Generalist","resid","ground glean","omnivore"
6140,"Tree Swallow","Tachycineta bicolor","Habitat Generalist","short","aerial foraging","insectivore"
6410,"Blue-winged Warbler","Vermivora cyanoptera","Eastern Forest","neotrop","foliage glean","insectivore"
6740,"Ovenbird","Seiurus aurocapilla","Eastern Forest","neotrop","ground glean","insectivore"
6870,"American Redstart","Setophaga ruticilla","Eastern Forest","neotrop","hover/glean","insectivore"
6360,"Black-and-white Warbler","Mniotilta varia","Eastern Forest","neotrop","bark glean","insectivore"
6380,"Swainson's Warbler","Limnothlypis swainsonii","Eastern Forest","neotrop","ground glean","insectivore"
7290,"Brown-headed Nuthatch","Sitta pusilla","Eastern Forest","resid","bark glean","insectivore"
4900,"Fish Crow","Corvus ossifragus","Habitat Generalist","short","ground glean","omnivore"
6290,"Blue-headed Vireo","Vireo solitarius","Boreal Forest","neotrop","foliage glean","insectivore"
6370,"Prothonotary Warbler","Protonotaria citrea","Eastern Forest","neotrop","bark glean","insectivore"
6390,"Worm-eating Warbler","Helmitheros vermivorum","Eastern Forest","neotrop","foliage glean","insectivore"
6520,"Yellow Warbler","Setophaga petechia","Forest Generalist","neotrop","foliage glean","insectivore"
5520,"Lark Sparrow","Chondestes grammacus","Grassland","neotrop","ground glean","insct/om"
3200,"Common Ground-Dove","Columbina passerina","Aridlands","resid","ground glean","granivore"
5750,"Bachman's Sparrow","Peucaea aestivalis","Eastern Forest","short","ground glean","insct/om"
3950,"Red-cockaded Woodpecker","Dryobates borealis","Eastern Forest","resid","bark glean","insectivore"
6670,"Black-throated Green Warbler","Setophaga virens","Boreal Forest","neotrop","foliage glean","insectivore"
4450,"Gray Kingbird","Tyrannus dominicensis","Eastern Forest","neotrop","hawks","insectivore"
5130,"Boat-tailed Grackle","Quiscalus major","Wetland","resid","ground glean","omnivore"
5500,"Seaside Sparrow","Ammospiza maritima","Coasts","short","ground glean","insct/om"
7250,"Marsh Wren","Cistothorus palustris","Wetland","short","ground glean","insectivore"
4030,"Red-breasted Sapsucker","Sphyrapicus ruber","Western Forest","short","bark glean","insectivore"
4330,"Rufous Hummingbird","Selasphorus rufus","Western Forest","neotrop","hover/glean","nectarivore"
4641,"Pacific-slope Flycatcher","Empidonax difficilis","Western Forest","neotrop","hawks","insectivore"
4661,"Alder Flycatcher","Empidonax alnorum","Boreal Forest","neotrop","hawks","insectivore"
4680,"Hammond's Flycatcher","Empidonax hammondii","Western Forest","neotrop","hawks","insectivore"
4780,"Steller's Jay","Cyanocitta stelleri","Western Forest","resid","ground glean","omnivore"
4860,"Common Raven","Corvus corax","Habitat Generalist","resid","ground glean","omnivore"
4890,"Northwestern Crow","Corvus caurinus","Western Forest","resid","ground glean","omnivore"
5210,"Red Crossbill","Loxia curvirostra","Forest Generalist","short","foliage glean","granivore"
5220,"White-winged Crossbill","Loxia leucoptera","Boreal Forest","short","foliage glean","granivore"
5330,"Pine Siskin","Spinus pinus","Forest Generalist","short","foliage glean","granivore"
5420,"Savannah Sparrow","Passerculus sandwichensis","Grassland","short","ground glean","insct/om"
5830,"Lincoln's Sparrow","Melospiza lincolnii","Boreal Forest","neotrop","ground glean","insct/om"
5850,"Fox Sparrow","Passerella iliaca","Forest Generalist","short","ground glean","insct/om"
6150,"Violet-green Swallow","Tachycineta thalassina","Western Forest","neotrop","aerial foraging","insectivore"
6160,"Bank Swallow","Riparia riparia","Habitat Generalist","neotrop","aerial foraging","insectivore"
6270,"Warbling Vireo","Vireo gilvus","Forest Generalist","neotrop","foliage glean","insectivore"
6460,"Orange-crowned Warbler","Oreothlypis celata","Forest Generalist","neotrop","foliage glean","insectivore"
6680,"Townsend's Warbler","Setophaga townsendi","Western Forest","neotrop","foliage glean","insectivore"
6850,"Wilson's Warbler","Cardellina pusilla","Forest Generalist","neotrop","foliage glean","insectivore"
7410,"Chestnut-backed Chickadee","Poecile rufescens","Western Forest","resid","foliage glean","insectivore"
7480,"Golden-crowned Kinglet","Regulus satrapa","Forest Generalist","short","foliage glean","insectivore"
7490,"Ruby-crowned Kinglet","Regulus calendula","Boreal Forest","short","foliage glean","insectivore"
7580,"Swainson's Thrush","Catharus ustulatus","Forest Generalist","neotrop","foliage glean","insectivore"
7590,"Hermit Thrush","Catharus guttatus","Forest Generalist","short","ground glean","insectivore"
7630,"Varied Thrush","Ixoreus naevius","Western Forest","short","ground glean","insct/om"
4590,"Olive-sided Flycatcher","Contopus cooperi","Forest Generalist","neotrop","hawks","insectivore"
4620,"Western Wood-Pewee","Contopus sordidulus","Western Forest","neotrop","hawks","insectivore"
5150,"Pine Grosbeak","Pinicola enucleator","Boreal Forest","short","foliage glean","granivore"
6550,"Yellow-rumped Warbler","Setophaga coronata","Forest Generalist","short","foliage glean","insectivore"
6800,"MacGillivray's Warbler","Geothlypis tolmiei","Western Forest","neotrop","foliage glean","insectivore"
7260,"Brown Creeper","Certhia americana","Forest Generalist","short","bark glean","insectivore"
2980,"Spruce Grouse","Falcipennis canadensis","Boreal Forest","resid","ground glean","herbivore"
3010,"Willow Ptarmigan","Lagopus lagopus","Arctic Tundra","resid","ground glean","herbivore"
2881,"Gray Partridge","Perdix perdix","Introduced","resid","ground glean","granivore"
3091,"Ring-necked Pheasant","Phasianus colchicus","Introduced","resid","ground glean","omnivore"
4470,"Western Kingbird","Tyrannus verticalis","Grassland","neotrop","hawks","insectivore"
4670,"Least Flycatcher","Empidonax minimus","Eastern Forest","neotrop","hover/glean","insectivore"
4750,"Black-billed Magpie","Pica hudsonia","Habitat Generalist","resid","ground glean","omnivore"
4970,"Yellow-headed Blackbird","Xanthocephalus xanthocephalus","Wetland","neotrop","ground glean","insectivore"
5011,"Western Meadowlark","Sturnella neglecta","Grassland","short","ground glean","insct/om"
5070,"Baltimore Oriole","Icterus galbula","Eastern Forest","neotrop","foliage glean","insectivore"
