"stateroute","dir25","env","climateTrend","trendPval","country","class","deltaCover"
2001,0.775901893314292,"tmin",0.0443300009913978,0.0325747041396374,"US",4,-0.165447099825241
2004,0.779196877257861,"tmin",0.0392074816097236,0.058795689253753,"US",4,-0.160991470228112
2008,0.717777536079708,"tmin",0.0243639239898103,0.187954418330198,"US",4,-0.169281835237461
2010,0.857069751998025,"tmin",0.0472081743818368,0.0219662933338293,"US",4,-0.149441331893616
2015,0.792296020736668,"tmin",0.0711018437305875,0.000640108363206327,"US",4,-0.144974003641719
2016,0.773757973421157,"tmin",0.0704754754152829,0.000547573386464104,"US",4,-0.210701886343451
2017,0.798887686415557,"tmin",0.0869947234950256,3.28556351957252e-05,"US",4,-0.135202959613606
2019,0.762859502351208,"tmin",0.0480558708295765,0.0122705611106259,"US",4,-0.181391722968353
2022,0.867987339876972,"tmin",0.019753776793582,0.226550149533051,"US",8,0.090666417625863
2023,0.83168371952635,"tmin",0.0266129452179999,0.103056342612195,"US",4,-0.136598148506132
2025,0.834169792084655,"tmin",0.0524501792143245,0.00509280161938648,"US",4,-0.192139118055195
2027,0.812014561316846,"tmin",0.0360751078957159,0.0504473356247832,"US",4,-0.115181479270209
2028,0.74929964235118,"tmin",0.0282395990517022,0.123041307884489,"US",4,-0.113151591194251
2031,0.769275519984262,"tmin",0.0613718125353403,0.000943128236027326,"US",4,-0.099823925552578
2035,0.79917852186037,"tmin",0.0495986811273516,0.00302069869628313,"US",4,-0.191485779202337
2038,0.824912158183064,"tmin",0.0349869008905973,0.0250377332925732,"US",4,-0.209536621571472
2043,0.780483065114024,"tmin",0.0602835405114438,0.000913909772610738,"US",4,-0.175940285061613
4002,0.818647042298423,"tmin",-0.0106463078255466,0.725268633308219,"Canada",61,-0.0078254951629353
4003,0.860102152425283,"tmin",-0.00114385921915761,0.964483596768011,"Canada",61,-0.04045391563333
4006,0.791440101363795,"tmin",-0.00178353461048683,0.95190061310449,"Canada",61,-0.066839754395895
4009,0.82041953650236,"tmin",0.0203075362163245,0.515670675384775,"Canada",51,0.020719277661583
4010,0.791851997317006,"tmin",0.0927958767466649,0.0197554988877558,"Canada",21,0.00045908591325999
4013,0.79487153130102,"tmin",0.00775020390643464,0.790298784686583,"Canada",61,-0.00361137043098397
4015,0.809220472862555,"tmin",-0.0296603314432267,0.374103665547671,"Canada",21,0.0091105848002558
4020,0.786822236480077,"tmin",-0.002845589138891,0.924500860095275,"Canada",51,0.011540960413967
4022,0.814731927454492,"tmin",-0.0364351936382195,0.295879091206485,"Canada",51,0.0221354089243281
4025,0.825784929469948,"tmin",-0.0248840470950383,0.649929366200989,"Canada",21,0.00159852246845522
4026,0.795852811808514,"tmin",-0.000927762403590943,0.973918753129868,"Canada",51,0.019025972315914
4028,0.843260457485226,"tmin",-0.0459544006768834,0.16331336308967,"Canada",51,0.00906628349209598
4030,0.797845723187886,"tmin",0.00732213592642418,0.818184246240337,"Canada",51,0.0243232873676891
4031,0.794706623755027,"tmin",0.0177671320062747,0.564499337306213,"Canada",51,0.0176420515853669
4040,0.802049240500594,"tmin",0.00480836983636614,0.874353918707869,"Canada",51,0.020342871709897
6029,0.753527871634637,"tmin",0.0500596846357692,0.0438847272901259,"US",5,-0.192381732132516
7002,0.812155616785009,"tmin",0.024524217507169,0.229391157611565,"US",6,-0.134018057348644
7004,0.856475084916436,"tmin",0.0144692971857559,0.499002025761769,"US",4,-0.262125871963163
7005,0.800908802160627,"tmin",0.029437267767014,0.184002557813043,"US",4,-0.081956123938565
7006,0.889410836359878,"tmin",0.0199391645097136,0.336645371467415,"US",4,-0.103117986824591
7007,0.767721342299775,"tmin",0.022232385092554,0.244403690388329,"US",4,-0.138040250598889
7008,0.803710144920315,"tmin",0.0289289631278484,0.20286602948685,"US",6,-0.022402827819631
7010,0.845964810030714,"tmin",0.0188718206669459,0.34300649078329,"US",6,-0.027167227015352
7013,0.805064037725499,"tmin",0.031398346839557,0.157659855444848,"US",4,-0.145427174466978
7019,0.843713411935488,"tmin",0.0179974223355074,0.424668288838124,"US",2,0.0372824093300111
7020,0.826303240805028,"tmin",0.0595909226965565,0.0109333576940227,"US",4,-0.076912382170564
7022,0.771436923836798,"tmin",0.0492791485879055,0.0349174706755179,"US",2,0.0647318417858106
7024,0.84224058566154,"tmin",0.0482724523719857,0.0272084531499298,"US",6,-0.121805690872032
7026,0.813767778541742,"tmin",0.0244597645999222,0.288288702075888,"US",4,-0.139183705409545
7028,0.789507376129418,"tmin",0.0561843241382895,0.0236193243367763,"US",2,0.0339377306234468
11019,0.738690606278805,"tmin",0.0293392446470208,0.451522956749678,"Canada",41,-0.010192236551733
11045,0.741252712692345,"tmin",-0.0317013685726094,0.23510372862021,"Canada",21,0.0306366217582719
11207,0.726693906511461,"tmin",0.112440315356622,0.058870280897432,"Canada",21,0.0094568787418426
11220,0.742202269615511,"tmin",-0.0257529879015369,0.551837701567512,"Canada",21,0.0254796413958682
11223,0.730822188628315,"tmin",-0.000126302108482477,0.996367573884414,"Canada",21,0.0087877638309314
11255,0.763213876710993,"tmin",-0.0271797477237952,0.30831432435907,"Canada",41,-0.0257196346748589
11409,0.798693505231914,"tmin",-0.00647063981399134,0.840385489684361,"Canada",41,-0.000356558446933053
11413,0.768755506008187,"tmin",0.0174597215756533,0.477278147365896,"Canada",21,0.0388334767859859
14007,0.786874328878611,"tmin",0.0302585125270963,0.245876024473367,"US",5,0.323329567192062
14009,0.82566858382244,"tmin",0.0486672534300246,0.0706160292782111,"US",7,-0.027230540045227
14011,0.750304688041276,"tmin",0.044477017542558,0.0922742544923455,"US",7,-0.10921718152215
14012,0.753855131726405,"tmin",0.0143763291944087,0.478611029328027,"US",7,-0.101535841653635
14047,0.810649081916636,"tmin",0.0412914661399334,0.114109780495366,"US",4,-0.0618383997922472
14089,0.848590292115021,"tmin",0.0890495531482433,0.00128393398423809,"US",1,-0.057255803924387
14112,0.854471739046069,"tmin",0.0462589991215432,0.153251726993469,"US",5,0.118489177356105
14132,0.778470009031221,"tmin",0.0661600391383418,0.0449390262537568,"US",4,-0.431050276533562
14151,0.78306757461196,"tmin",0.0398328467051829,0.149447439530469,"US",7,0.128880225528533
14165,0.781479715382267,"tmin",0.0525848469968535,0.0574730270170741,"US",1,-0.127274880221522
14175,0.803230249666997,"tmin",0.0446119592584096,0.111703266759696,"US",5,0.114799557963664
14176,0.817758174594757,"tmin",0.0595067645422474,0.0460237547742932,"US",7,0.130725880443909
14181,0.75121351060215,"tmin",0.074959031637404,0.00675213406604955,"US",5,0.165361729425649
14186,0.789708029378072,"tmin",-0.0103796393614164,0.515838898203236,"US",6,-0.34353593866834
14188,0.820360808235271,"tmin",0.0514677866058774,0.116837861455751,"US",4,-0.151609197416073
14201,0.807792484462712,"tmin",0.0456394776261159,0.118669305540681,"US",7,0.245608530618514
17004,0.78987112303418,"tmin",0.0438882500109395,0.0146971230670008,"US",5,0.268337808262449
17006,0.823459646914338,"tmin",-0.0137102301464031,0.516089037983965,"US",7,-0.0177235524246699
17013,0.889239911104482,"tmin",-0.00575225289784943,0.754446934525471,"US",7,-0.062874875910339
17014,0.806732506761634,"tmin",0.0238395688102151,0.177251051932258,"US",7,-0.0502755092102339
17015,0.711578305310567,"tmin",0.0622670134602211,0.00548311908624671,"US",4,0.101249017207576
17018,0.860112492874879,"tmin",0.0230187882477546,0.170492390835429,"US",7,-0.340009760773508
17028,0.811843092463725,"tmin",0.0390463315998583,0.0374055545959825,"US",7,-0.251095517519574
18003,0.810829306384799,"tmin",0.0834955572933817,0.000137633656011347,"US",6,-0.0639990880072957
18004,0.758892771402627,"tmin",0.0768490519683505,0.000338369510166523,"US",6,-0.0448732814311747
18007,0.799849576175627,"tmin",0.0746692358320015,0.000558126009605502,"US",6,-0.0556456762019073
18009,0.75902824146832,"tmin",0.0683632408350682,0.00021333570895703,"US",6,-0.0708622064265858
18015,0.788317823002492,"tmin",0.0891659311747065,7.1726813354561e-05,"US",2,0.052911839732727
21001,0.773331912374535,"tmin",0.0775276119836267,0.000829545201551647,"US",2,0.191161406350241
21003,0.792493132519893,"tmin",0.0796080634993486,0.000316612198567961,"US",2,0.0696655429494833
21010,0.831631479667842,"tmin",0.0790386806941346,0.000341865165454692,"US",2,0.0788750652230628
25001,0.792807263307737,"tmin",0.0397069847175981,0.0176852580819436,"US",4,-0.294421450059561
25005,0.723917805147293,"tmin",0.0368927186909197,0.0370757192295589,"US",4,-0.217664765175568
25006,0.842037321618487,"tmin",0.028308121985232,0.117998333801019,"US",3,-0.175099216528017
25010,0.836422911611978,"tmin",0.0419079505781954,0.0139004466098835,"US",3,-0.102392822275594
25011,0.816682932326735,"tmin",0.0469125639221382,0.0114943413763919,"US",3,-0.150785157524837
25012,0.796259454739187,"tmin",0.0390546639678274,0.0109699876262844,"US",3,-0.130371936031674
