"SPEC","COMMONNAME","SCINAME","SPEC6","species_id","aou","french_common_name","spanish_common_name","sporder","family","genus","species"
"PLCH","Plain Chachalaca","Ortalis vetula","ORTVET",76,3110,"Ortalide chacamel","Ortalis vetula","Galliformes","Cracidae","Ortalis","vetula"
"MOUQ","Mountain Quail","Oreortyx pictus","OREPIC",84,2920,"Colin des montagnes","Oreortyx pictus","Galliformes","Odontophoridae","Oreortyx","pictus"
"NOBO","Northern Bobwhite","Colinus virginianus","COLVIR",89,2890,"Colin de Virginie","Colinus virginianus","Galliformes","Odontophoridae","Colinus","virginianus"
"SCQU","Scaled Quail","Callipepla squamata","CALSQU",91,2930,"Colin écaillé","Callipepla squamata","Galliformes","Odontophoridae","Callipepla","squamata"
"CAQU","California Quail","Callipepla californica","CALCAF",93,2940,"Colin de Californie","Callipepla californica","Galliformes","Odontophoridae","Callipepla","californica"
"GAQU","Gambel's Quail","Callipepla gambelii","CALGAM",94,2950,"Colin de Gambel","Callipepla gambelii","Galliformes","Odontophoridae","Callipepla","gambelii"
"MONQ","Montezuma Quail","Cyrtonyx montezumae","CYRMON",95,2960,"Colin arlequin","Cyrtonyx montezumae","Galliformes","Odontophoridae","Cyrtonyx","montezumae"
"CHUK","Chukar","Alectoris chukar","ALECHU",99,2882,"Perdrix choukar","Alectoris chukar","Galliformes","Phasianidae","Alectoris","chukar"
"GRAP","Gray Partridge","Perdix perdix","PERPER",102,2881,"Perdrix grise","Perdix perdix","Galliformes","Phasianidae","Perdix","perdix"
"RNEP","Ring-necked Pheasant","Phasianus colchicus","PHACOL",103,3091,"Faisan de Colchide","Phasianus colchicus","Galliformes","Phasianidae","Phasianus","colchicus"
"INPE","Indian Peafowl","Pavo cristatus","PAVCRI",104,3095,"Paon bleu","Pavo cristatus","Galliformes","Phasianidae","Pavo","cristatus"
"RUGR","Ruffed Grouse","Bonasa umbellus","BONUMB",105,3000,"Gélinotte huppée","Bonasa umbellus","Galliformes","Phasianidae","Bonasa","umbellus"
"GRSG","Greater Sage-Grouse","Centrocercus urophasianus","CENURO",106,3090,"Tétras des armoises","Centrocercus urophasianus","Galliformes","Phasianidae","Centrocercus","urophasianus"
"GUSG","Gunnison Sage-Grouse","Centrocercus minimus","CENMIN",107,3089,"Tétras du Gunnison","Centrocercus minimus","Galliformes","Phasianidae","Centrocercus","minimus"
"SPGR","Spruce Grouse","Falcipennis canadensis","FALCAN",108,2980,"Tétras du Canada","Falcipennis canadensis","Galliformes","Phasianidae","Falcipennis","canadensis"
"WIPT","Willow Ptarmigan","Lagopus lagopus","LAGLAG",109,3010,"Lagopède des saules","Lagopus lagopus","Galliformes","Phasianidae","Lagopus","lagopus"
"ROPT","Rock Ptarmigan","Lagopus muta","LAGMUT",110,3020,"Lagopède alpin","Lagopus muta","Galliformes","Phasianidae","Lagopus","muta"
"WTPT","White-tailed Ptarmigan","Lagopus leucura","LAGLEU",111,3040,"Lagopède à queue blanche","Lagopus leucura","Galliformes","Phasianidae","Lagopus","leucura"
"DUGR","Dusky Grouse","Dendragapus obscurus","DENOBS",112,2970,"Tétras sombre","Dendragapus obscurus","Galliformes","Phasianidae","Dendragapus","obscurus"
"SOGR","Sooty Grouse","Dendragapus fuliginosus","DENFUU",113,2971,"Tétras fuligineux","Dendragapus fuliginosus","Galliformes","Phasianidae","Dendragapus","fuliginosus"
"STGR","Sharp-tailed Grouse","Tympanuchus phasianellus","TYMPHA",115,3080,"Tétras à queue fine","Tympanuchus phasianellus","Galliformes","Phasianidae","Tympanuchus","phasianellus"
"GRPC","Greater Prairie-Chicken","Tympanuchus cupido","TYMCUP",116,3050,"Tétras des prairies","Tympanuchus cupido","Galliformes","Phasianidae","Tympanuchus","cupido"
"LEPC","Lesser Prairie-Chicken","Tympanuchus pallidicinctus","TYMPAL",117,3070,"Tétras pâle","Tympanuchus pallidicinctus","Galliformes","Phasianidae","Tympanuchus","pallidicinctus"
"WITU","Wild Turkey","Meleagris gallopavo","MELGAL",118,3100,"Dindon sauvage","Meleagris gallopavo","Galliformes","Phasianidae","Meleagris","gallopavo"
"ROPI","Rock Pigeon","Columba livia","COLLIV",129,3131,"Pigeon biset","Columba livia","Columbiformes","Columbidae","Columba","livia"
"WCPI","White-crowned Pigeon","Patagioenas leucocephala","PATLEU",133,3140,"Pigeon à couronne blanche","Patagioenas leucocephala","Columbiformes","Columbidae","Patagioenas","leucocephala"
"RBPI","Red-billed Pigeon","Patagioenas flavirostris","PATFLA",134,3130,"Pigeon à bec rouge","Patagioenas flavirostris","Columbiformes","Columbidae","Patagioenas","flavirostris"
"BTPI","Band-tailed Pigeon","Patagioenas fasciata","PATFAS",135,3120,"Pigeon à queue barrée","Patagioenas fasciata","Columbiformes","Columbidae","Patagioenas","fasciata"
"EUCD","Eurasian Collared-Dove","Streptopelia decaocto","STRDEC",140,22860,"Tourterelle turque","Streptopelia decaocto","Columbiformes","Columbidae","Streptopelia","decaocto"
"SPDO","Spotted Dove","Streptopelia chinensis","STRCHI",141,3151,"Tourterelle tigrine","Streptopelia chinensis","Columbiformes","Columbidae","Streptopelia","chinensis"
"INDO","Inca Dove","Columbina inca","COLINC",142,3210,"Colombe inca","Columbina inca","Columbiformes","Columbidae","Columbina","inca"
"COGD","Common Ground-Dove","Columbina passerina","COLPAS",143,3200,"Colombe à queue noire","Columbina passerina","Columbiformes","Columbidae","Columbina","passerina"
"RUGD","Ruddy Ground-Dove","Columbina talpacoti","COLTAL",145,3201,"Colombe rousse","Columbina talpacoti","Columbiformes","Columbidae","Columbina","talpacoti"
"WTDO","White-tipped Dove","Leptotila verreauxi","LEPVEX",150,3180,"Colombe de Verreaux","Leptotila verreauxi","Columbiformes","Columbidae","Leptotila","verreauxi"
"WWDO","White-winged Dove","Zenaida asiatica","ZENASI",156,3190,"Tourterelle à ailes blanches","Zenaida asiatica","Columbiformes","Columbidae","Zenaida","asiatica"
"MODO","Mourning Dove","Zenaida macroura","ZENMAC",158,3160,"Tourterelle triste","Zenaida macroura","Columbiformes","Columbidae","Zenaida","macroura"
"YBCU","Yellow-billed Cuckoo","Coccyzus americanus","COCAME",164,3870,"Coulicou à bec jaune","Coccyzus americanus","Cuculiformes","Cuculidae","Coccyzus","americanus"
"MACU","Mangrove Cuckoo","Coccyzus minor","COCMIR",165,3860,"Coulicou manioc","Coccyzus minor","Cuculiformes","Cuculidae","Coccyzus","minor"
"BBCU","Black-billed Cuckoo","Coccyzus erythropthalmus","COCERY",166,3880,"Coulicou à bec noir","Coccyzus erythropthalmus","Cuculiformes","Cuculidae","Coccyzus","erythropthalmus"
"GRRO","Greater Roadrunner","Geococcyx californianus","GEOCAL",172,3850,"Grand Géocoucou","Geococcyx californianus","Cuculiformes","Cuculidae","Geococcyx","californianus"
"SBAN","Smooth-billed Ani","Crotophaga ani","CROANI",173,3830,"Ani à bec lisse","Crotophaga ani","Cuculiformes","Cuculidae","Crotophaga","ani"
"GBAN","Groove-billed Ani","Crotophaga sulcirostris","CROSUL",174,3840,"Ani à bec cannelé","Crotophaga sulcirostris","Cuculiformes","Cuculidae","Crotophaga","sulcirostris"
"BLSW","Black Swift","Cypseloides niger","CYPNIG",195,4220,"Martinet sombre","Cypseloides niger","Apodiformes","Apodidae","Cypseloides","niger"
"CHSW","Chimney Swift","Chaetura pelagica","CHAPEL",200,4230,"Martinet ramoneur","Chaetura pelagica","Apodiformes","Apodidae","Chaetura","pelagica"
"VASW","Vaux's Swift","Chaetura vauxi","CHAVAU",201,4240,"Martinet de Vaux","Chaetura vauxi","Apodiformes","Apodidae","Chaetura","vauxi"
"WTSW","White-throated Swift","Aeronautes saxatalis","AERSAX",205,4250,"Martinet à gorge blanche","Aeronautes saxatalis","Apodiformes","Apodidae","Aeronautes","saxatalis"
"BTHH","Blue-throated Hummingbird","Lampornis clemenciae","LAMCLE",223,4270,"Colibri à gorge bleue","Lampornis clemenciae","Apodiformes","Trochilidae","Lampornis","clemenciae"
"LUHU","Lucifer Hummingbird","Calothorax lucifer","CALLUC",229,4370,"Colibri lucifer","Calothorax lucifer","Apodiformes","Trochilidae","Calothorax","lucifer"
"RTHU","Ruby-throated Hummingbird","Archilochus colubris","ARCCOL",231,4280,"Colibri à gorge rubis","Archilochus colubris","Apodiformes","Trochilidae","Archilochus","colubris"
"BCHU","Black-chinned Hummingbird","Archilochus alexandri","ARCALE",232,4290,"Colibri à gorge noire","Archilochus alexandri","Apodiformes","Trochilidae","Archilochus","alexandri"
"ANHU","Anna's Hummingbird","Calypte anna","CALANN",234,4310,"Colibri d'Anna","Calypte anna","Apodiformes","Trochilidae","Calypte","anna"
"COHU","Costa's Hummingbird","Calypte costae","CALCOS",235,4300,"Colibri de Costa","Calypte costae","Apodiformes","Trochilidae","Calypte","costae"
"BTAH","Broad-tailed Hummingbird","Selasphorus platycercus","SELPLA",238,4320,"Colibri à queue large","Selasphorus platycercus","Apodiformes","Trochilidae","Selasphorus","platycercus"
"RUHU","Rufous Hummingbird","Selasphorus rufus","SELRUF",239,4330,"Colibri roux","Selasphorus rufus","Apodiformes","Trochilidae","Selasphorus","rufus"
"ALHU","Allen's Hummingbird","Selasphorus sasin","SELSAS",240,4340,"Colibri d'Allen","Selasphorus sasin","Apodiformes","Trochilidae","Selasphorus","sasin"
"CAHU","Calliope Hummingbird","Selasphorus calliope","SELCAL",243,4360,"Colibri calliope","Selasphorus calliope","Apodiformes","Trochilidae","Selasphorus","calliope"
"BBIH","Broad-billed Hummingbird","Cynanthus latirostris","CYNLAT",248,4410,"Colibri circé","Cynanthus latirostris","Apodiformes","Trochilidae","Cynanthus","latirostris"
"BBEH","Buff-bellied Hummingbird","Amazilia yucatanensis","AMAYUC",264,4390,"Ariane du Yucatan","Amazilia yucatanensis","Apodiformes","Trochilidae","Amazilia","yucatanensis"
"VCHU","Violet-crowned Hummingbird","Amazilia violiceps","AMAVIO",266,4391,"Ariane à couronne violette","Amazilia violiceps","Apodiformes","Trochilidae","Amazilia","violiceps"
"PUSW","Purple Swamphen","Porphyrio porphyrio","PORPOP",290,21930,"Talève sultane","Porphyrio porphyrio","Gruiformes","Rallidae","Porphyrio","porphyrio"
"ELTR","Elegant Trogon","Trogon elegans","TROELE",700,3890,"Trogon élégant","Trogon elegans","Trogoniformes","Trogonidae","Trogon","elegans"
"LEWO","Lewis's Woodpecker","Melanerpes lewis","MELLEW",725,4080,"Pic de Lewis","Melanerpes lewis","Piciformes","Picidae","Melanerpes","lewis"
