"stateroute","stops","scale","dir_all","dir_core"
4106,"stops1_25",0.5,0.31486873348763,0.324367039717119
4106,"stops26_50",0.5,0.392783976513149,0.291554220380992
4312,"stops1_25",0.5,0.303658078664557,0.262516759275331
4312,"stops26_50",0.5,0.313449616469464,0.265507364203792
2001,"stops1_25",0.5,0.443535507265063,0.490550135186051
2001,"stops26_50",0.5,0.449922491644687,0.473785264129033
2004,"stops1_25",0.5,0.364537383491647,0.375849296022462
2004,"stops26_50",0.5,0.369970509536637,0.378972199995427
2006,"stops1_25",0.5,0.442382240747974,0.451616112263992
2006,"stops26_50",0.5,0.361442312845643,0.383685623644808
2007,"stops1_25",0.5,0.430815625194201,0.435899543542723
2007,"stops26_50",0.5,0.423195778673681,0.43353398289994
2008,"stops1_25",0.5,0.386353912502122,0.38485022738772
2008,"stops26_50",0.5,0.38230666157147,0.381374377006259
2010,"stops1_25",0.5,0.41466886814676,0.423400087350249
2010,"stops26_50",0.5,0.370567259488837,0.412906850736338
2014,"stops1_25",0.5,0.414226192600586,0.419399109205133
2014,"stops26_50",0.5,0.365410021504461,0.370299086715095
2016,"stops1_25",0.5,0.385272364769711,0.406218079387505
2016,"stops26_50",0.5,0.358482690319822,0.427293650188307
2017,"stops1_25",0.5,0.41199880567731,0.42577300873394
2017,"stops26_50",0.5,0.396216069276794,0.393563089185155
2019,"stops1_25",0.5,0.332849590166691,0.329643370989787
2019,"stops26_50",0.5,0.360300732873682,0.357340556744114
2020,"stops1_25",0.5,0.390804025993875,0.383848566930109
2020,"stops26_50",0.5,0.366804634377589,0.37641162564701
2021,"stops1_25",0.5,0.338288422721016,0.325374274340768
2021,"stops26_50",0.5,0.347676169267304,0.349080260496812
2022,"stops1_25",0.5,0.416874058884824,0.409101461288909
2022,"stops26_50",0.5,0.469334547425252,0.482235820906009
2023,"stops1_25",0.5,0.369990946462287,0.383193410509443
2023,"stops26_50",0.5,0.391871142640809,0.433014629470822
2024,"stops1_25",0.5,0.376169785736468,0.392761875027214
2024,"stops26_50",0.5,0.382250648915778,0.373454527379978
2025,"stops1_25",0.5,0.396694842288314,0.412443845334658
2025,"stops26_50",0.5,0.395040764389434,0.405410320675925
2026,"stops1_25",0.5,0.376775455682356,0.360009786844015
2026,"stops26_50",0.5,0.353228690950055,0.350116650844118
2027,"stops1_25",0.5,0.429614825516362,0.431612830067146
2027,"stops26_50",0.5,0.414971271522496,0.407276315075758
2028,"stops1_25",0.5,0.376209883985433,0.363534956186148
2028,"stops26_50",0.5,0.347098165576744,0.343481924748472
2029,"stops1_25",0.5,0.406817444615129,0.416441252582793
2029,"stops26_50",0.5,0.399077300951381,0.426543482609303
2033,"stops1_25",0.5,0.368784413796293,0.367677182502447
2033,"stops26_50",0.5,0.389554038146432,0.378332522565535
2034,"stops1_25",0.5,0.367604276807558,0.381194655827876
2034,"stops26_50",0.5,0.380201122528955,0.429688477453427
2035,"stops1_25",0.5,0.35733571538691,0.365485439741453
2035,"stops26_50",0.5,0.416504593370292,0.39963417048257
2036,"stops1_25",0.5,0.388376774099038,0.38376959367325
2036,"stops26_50",0.5,0.40293379163541,0.40135291291607
2038,"stops1_25",0.5,0.367446614772745,0.394676065636004
2038,"stops26_50",0.5,0.349662219208137,0.377873282012971
2043,"stops1_25",0.5,0.355697178725603,0.391369696815771
2043,"stops26_50",0.5,0.369701340888151,0.377846345561139
2045,"stops1_25",0.5,0.444813400754745,0.455397073177023
2045,"stops26_50",0.5,0.423627090932186,0.388139338594057
2046,"stops1_25",0.5,0.358947814234368,0.490614171262835
2046,"stops26_50",0.5,0.377071138902986,0.399046402171779
2047,"stops1_25",0.5,0.416742021663588,0.437571804475778
2047,"stops26_50",0.5,0.401817311353462,0.429939427207901
2048,"stops1_25",0.5,0.446283893935803,0.492403209424966
2048,"stops26_50",0.5,0.419009916699688,0.392042407969422
2049,"stops1_25",0.5,0.427441590358457,0.418632962549171
2049,"stops26_50",0.5,0.406385414641478,0.411178754456015
2050,"stops1_25",0.5,0.410782087127033,0.417373295193697
2050,"stops26_50",0.5,0.389736184292298,0.40746393928621
2051,"stops1_25",0.5,0.523203432851758,0.535570169754549
2051,"stops26_50",0.5,0.459970089564032,0.489687422673105
2052,"stops1_25",0.5,0.388923468446468,0.39348603602872
2052,"stops26_50",0.5,0.365318293902758,0.374147537543854
2053,"stops1_25",0.5,0.372553541785861,0.400796283043129
2053,"stops26_50",0.5,0.382119891954133,0.381763582871346
2054,"stops1_25",0.5,0.329641050155465,0.364566593435565
2054,"stops26_50",0.5,0.359235344797261,0.377088666377426
2055,"stops1_25",0.5,0.371652583714674,0.363979431881183
2055,"stops26_50",0.5,0.387344055941833,0.357614474591881
2057,"stops1_25",0.5,0.388264242900049,0.376445606932421
2057,"stops26_50",0.5,0.424586510583098,0.413220953597318
2058,"stops1_25",0.5,0.339870737754007,0.368461727483121
2058,"stops26_50",0.5,0.356673729420634,0.409948065310389
2059,"stops1_25",0.5,0.39651074635114,0.416361725197328
2059,"stops26_50",0.5,0.393843782026586,0.406051196898309
2060,"stops1_25",0.5,0.366085231495844,0.399195698166188
2060,"stops26_50",0.5,0.375387650491452,0.397631616671102
2061,"stops1_25",0.5,0.422750405244303,0.42086972644857
2061,"stops26_50",0.5,0.424015797298782,0.43334091567026
2063,"stops1_25",0.5,0.39570532372989,0.426246085155968
2063,"stops26_50",0.5,0.419747159833991,0.405448159832153
2065,"stops1_25",0.5,0.368463300372418,0.355801003262119
2065,"stops26_50",0.5,0.405646276801548,0.431543548907032
2066,"stops1_25",0.5,0.34448388874176,0.370068956195474
2066,"stops26_50",0.5,0.365895784883378,0.368496474994273
2067,"stops1_25",0.5,0.351277765981447,0.360537708773307
2067,"stops26_50",0.5,0.376744713285732,0.35267161094001
2068,"stops1_25",0.5,0.414123629689315,0.418128083844061
2068,"stops26_50",0.5,0.377320345377317,0.39154156012752
2070,"stops1_25",0.5,0.354393415868723,0.385767786548635
2070,"stops26_50",0.5,0.396797699186663,0.398539240210711
2071,"stops1_25",0.5,0.433191851676394,0.395683445100962
2071,"stops26_50",0.5,0.373059540017146,0.375286916976343
2072,"stops1_25",0.5,0.432211884412503,0.454507331919537
2072,"stops26_50",0.5,0.422705568936516,0.428527782326467
2102,"stops1_25",0.5,0.339742282839518,0.389797110339202
2102,"stops26_50",0.5,0.377986667344252,0.415786690495813
2105,"stops1_25",0.5,0.422628534500747,0.43750015498269
2105,"stops26_50",0.5,0.383497768285542,0.392604268664264
2109,"stops1_25",0.5,0.415226730989333,0.463077121561556
2109,"stops26_50",0.5,0.403254631592785,0.389972589151832
2111,"stops1_25",0.5,0.404426407486358,0.366925423600755
2111,"stops26_50",0.5,0.392223528903733,0.391757519283355
2140,"stops1_25",0.5,0.39623965585069,0.427051487724152
2140,"stops26_50",0.5,0.405189513422371,0.425614979756872
2142,"stops1_25",0.5,0.379579162967088,0.416414267465664
2142,"stops26_50",0.5,0.382550761930238,0.38432470446773
2156,"stops1_25",0.5,0.345355250352877,0.366701815451838
2156,"stops26_50",0.5,0.365966085631365,0.417737065074304
2162,"stops1_25",0.5,0.368549343656478,0.388317497039954
2162,"stops26_50",0.5,0.366215371354042,0.370946779181642
2164,"stops1_25",0.5,0.400944417023732,0.446554546361867
2164,"stops26_50",0.5,0.362418750936997,0.388378051799033
2201,"stops1_25",0.5,0.400378633786123,0.384855098184699
2201,"stops26_50",0.5,0.375140771026526,0.380652168631039
2204,"stops1_25",0.5,0.387065787467955,0.393713908167747
2204,"stops26_50",0.5,0.356182795189671,0.356887481841242
2205,"stops1_25",0.5,0.395160054022649,0.390189649041025
2205,"stops26_50",0.5,0.411690196641038,0.414397554534875
2207,"stops1_25",0.5,0.374757012709782,0.378347165546006
2207,"stops26_50",0.5,0.366073829630582,0.361164553071491
2209,"stops1_25",0.5,0.421850318828627,0.421909954475993
2209,"stops26_50",0.5,0.349005258925328,0.374986763839461
2210,"stops1_25",0.5,0.372287342251946,0.347585556257353
2210,"stops26_50",0.5,0.365945050207905,0.372734394603498
2211,"stops1_25",0.5,0.437518140393826,0.443021485449284
2211,"stops26_50",0.5,0.449053428990309,0.459908212883022
2212,"stops1_25",0.5,0.424558228693678,0.414308307158413
2212,"stops26_50",0.5,0.384938344104192,0.354443162917256
2214,"stops1_25",0.5,0.368961610006284,0.385494929730884
2214,"stops26_50",0.5,0.382264170331321,0.39471538183638
