"stateroute","stops","scale","dir_all","dir_core","trend_tmax","trend_tmin","country","common_label","max_lc","countrynum","statenum","route","routename","active","latitude","longitude","stratum","bcr","landtypeid","routetypeid","routetypedetailid"
2001,"1-25",0.5,0.443535507265063,0.490550135186051,0.0455761485544833,0.0447717829552668,"US","Forest",-0.00527901447013428,840,2,1,"ST FLORIAN",1,34.868688,-87.6041417,14,27,0,1,1
2001,"26-50",0.5,0.449922491644687,0.473785264129033,0.0454165303944298,0.0438360883469454,"US","Forest",-0.00769106219857324,840,2,1,"ST FLORIAN",1,34.868688,-87.6041417,14,27,0,1,1
2007,"1-25",0.5,0.430815625194201,0.435899543542723,0.0553603414378982,0.0387074198156691,"US","Forest",-0.00310384423872284,840,2,7,"SWAIM",1,34.8680404,-86.2030371,14,24,0,1,1
2007,"26-50",0.5,0.423195778673681,0.43353398289994,0.0544061725199403,0.0454108190931935,"US","Forest",-0.00311642010589596,840,2,7,"SWAIM",1,34.8680404,-86.2030371,14,24,0,1,1
2010,"1-25",0.5,0.41466886814676,0.423400087350249,0.0465782312751059,0.0444157890648595,"US","Forest",-0.00634346765373936,840,2,10,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,0,1,1
2010,"26-50",0.5,0.370567259488837,0.412906850736338,0.0527636356212464,0.0510817466018541,"US","Forest",-0.00584002799528896,840,2,10,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,0,1,1
2017,"1-25",0.5,0.41199880567731,0.42577300873394,0.0293202791745023,0.0896906088237753,"US","Forest",-0.00553688177698516,840,2,17,"MAYTOWN",1,33.5263185,-87.0044623,13,28,0,1,1
2017,"26-50",0.5,0.396216069276794,0.393563089185155,0.0271215371480785,0.0845454428283253,"US","Forest",-0.00555768380727864,840,2,17,"MAYTOWN",1,33.5263185,-87.0044623,13,28,0,1,1
2019,"1-25",0.5,0.332849590166691,0.329643370989787,0.0306455066710903,0.0443027870919813,"US","Forest",-0.00696875652168056,840,2,19,"LIBERTY",1,33.4765537,-88.1712189,4,27,0,1,1
2019,"26-50",0.5,0.360300732873682,0.357340556744114,0.0347559028095038,0.0517539099932177,"US","Forest",-0.0077726165765,840,2,19,"LIBERTY",1,33.4765537,-88.1712189,4,27,0,1,1
2020,"1-25",0.5,0.390804025993875,0.383848566930109,0.0192610300664593,0.0364361874793636,"US","Forest",-0.0070324372992156,840,2,20,"RIDERWOOD",1,32.1307226,-88.3172665,4,27,0,1,1
2020,"26-50",0.5,0.366804634377589,0.37641162564701,0.0152935754189704,0.0297907470202753,"US","Forest",-0.00785644945381716,840,2,20,"RIDERWOOD",1,32.1307226,-88.3172665,4,27,0,1,1
2022,"1-25",0.5,0.416874058884824,0.409101461288909,0.016793151614376,0.0194358137259485,"US","Wetlands",0.00367383500740984,840,2,22,"HARRELL",1,32.442715,-87.2158334,4,27,0,1,1
2022,"26-50",0.5,0.469334547425252,0.482235820906009,0.0193394120839935,0.0202817774974772,"US","Agricultural",-0.0038599595551062,840,2,22,"HARRELL",1,32.442715,-87.2158334,4,27,0,1,1
2025,"1-25",0.5,0.396694842288314,0.412443845334658,0.0389585677572478,0.0571512152854592,"US","Forest",-0.00701101997516908,840,2,25,"BILLINGSLEY",1,32.6594297,-86.7017714,4,27,0,1,1
2025,"26-50",0.5,0.395040764389434,0.405410320675925,0.0352562243076678,0.0469660731215835,"US","Forest",-0.00834637139624972,840,2,25,"BILLINGSLEY",1,32.6594297,-86.7017714,4,27,0,1,1
2029,"1-25",0.5,0.406817444615129,0.416441252582793,0.0597442259008122,0.0252468077392025,"US","Forest",-0.00537865724774724,840,2,29,"COTTONTON",1,32.1473077,-85.0626449,4,27,0,1,1
2029,"26-50",0.5,0.399077300951381,0.426543482609303,0.0536866475315107,0.0249029605077052,"US","Forest",-0.00853947301100028,840,2,29,"COTTONTON",1,32.1473077,-85.0626449,4,27,0,1,1
2035,"1-25",0.5,0.35733571538691,0.365485439741453,0.0359141394252827,0.0494047842149038,"US","Forest",-0.00899337739022728,840,2,35,"MCLELLAN",1,30.9977072,-86.8858316,4,27,0,1,1
