"bcr","focal_rte","rte","overlap"
5,11210,"stateroute1",NA
13,68006,"stateroute1",NA
29,27046,"stateroute1",NA
30,44001,"stateroute1",NA
9,85019,"focal_rte1",0.32
9,11609,"focal_rte2",0.32
10,17001,"focal_rte1",0.08
10,11033,"focal_rte2",0.08
11,4028,"focal_rte1",0.08
11,50003,"focal_rte2",0.08
12,68039,"focal_rte1",0.16
12,50042,"focal_rte2",0.16
16,17003,"focal_rte1",0.4
16,60013,"focal_rte2",0.4
23,49038,"focal_rte1",0.24
23,91009,"focal_rte2",0.24
24,52010,"focal_rte1",0.16
24,39021,"focal_rte2",0.16
14,44003,"focal_rte1",0.266666666666667
14,61073,"focal_rte2",0.266666666666667
14,65009,"focal_rte3",0.266666666666667
27,82003,"focal_rte1",0.173333333333333
27,25062,"focal_rte2",0.173333333333333
27,63107,"focal_rte3",0.173333333333333
22,50058,"stateroute1",0.12
22,34051,"stateroute2",0.12
22,38029,"stateroute3",0.12
22,66005,"stateroute4",0.12
28,61056,"stateroute1",0.116
28,72194,"stateroute2",0.116
28,39010,"stateroute3",0.116
28,90041,"stateroute4",0.116
28,59021,"stateroute5",0.116
