"scale","part1","part2","joined","unexpl"
1,0.103626804578276,0.244206946944807,-0.0638250070617068,0.715991255538625
2,0.0535881815853271,0.0986744944037015,-0.0182498801644527,0.865987204175424
3,0.0434267786734026,0.0928059054435152,-0.000630067719007907,0.86439738360209
4,0.00378652664051006,0.057328052382048,-0.00299541333316434,0.941880834310606
5,0.0819609593635681,0.0816562628089308,-0.00841693350509515,0.844799711332596
6,0.227517065597244,0.19909840879484,-0.0884194236143478,0.661803949222263
7,0.132706036838357,0.150323420389206,-0.0595558701554801,0.776526412927917
8,0.129424372060594,0.0761307753776213,-0.0365990264167425,0.831043878978527
9,0.0850279121294817,0.0154804566282577,-0.00469388357920573,0.904185514821466
10,0.08291021221146,0.0255475624834872,-0.00334023156516906,0.894882456870222
11,0.140358487390262,0.00833448801836942,-0.00028967285912368,0.851596697450493
12,0.0888764520926058,0.0051310737658924,0.009902465926713,0.896090008214789
13,0.0827708251686439,0.0156295430052858,0.0205070209270441,0.881092610899026
14,0.176728882387071,0.0172157518047426,-0.000904140719824198,0.80695950652801
15,0.184386307332923,0.0224118339387247,0.0439524358439634,0.749249422884389
16,0.174437031729622,0.0180882816672087,0.0324178002592611,0.775056886343908
17,0.237776243543569,0.0243001741109996,0.0379084137952088,0.700015168550222
18,0.236855016993727,0.0191294918398754,0.035404128966095,0.708611362200303
19,0.263334859850495,0.0143728535990463,0.0246268637949264,0.697665422755533
20,0.253430572684692,0.0191579795405105,0.0244772032641952,0.702934244510602
21,0.349225728804614,0.00225412855633755,0.02596602023709,0.622554122401958
22,0.343015967624402,0.00188189013266948,0.0256566232339742,0.629445519008954
23,0.327504544113631,0.00297934237338121,0.027522559794089,0.641993553718899
24,0.32482519742939,0.00307634209081559,0.0319662500866216,0.640132210393173
25,0.288785280972132,0.0024900500938444,0.0329574850312925,0.675767183902731
