"scale","part1","part2","joined","unexpl"
1,0.007,0.001,0,0.992
2,0.018,0.003,-0.001,0.979
3,0.015,0.015,-0.002,0.971
4,0.013,0.012,-0.001,0.977
5,0.016,0,0,0.983
6,0.015,0.006,-0.001,0.979
7,0.02,0.022,-0.001,0.959
8,0.04,0.027,-0.001,0.935
9,0.035,0.033,-0.004,0.936
10,0.027,0.04,-0.005,0.938
11,0.028,0.041,-0.005,0.935
12,0.028,0.032,-0.003,0.944
13,0.024,0.018,-0.001,0.959
14,0.023,0.009,0,0.969
15,0.023,0.006,0,0.971
16,0.02,0.006,0,0.974
17,0.024,0.008,-0.001,0.97
18,0.023,0.015,-0.001,0.963
19,0.021,0.009,-0.002,0.972
20,0.019,0.01,-0.002,0.973
21,0.021,0.006,-0.002,0.975
22,0.02,0.009,-0.003,0.974
23,0.022,0.011,-0.003,0.971
24,0.017,0.015,-0.004,0.971
25,0.016,0.04,-0.007,0.951
26,0.015,0.042,-0.007,0.949
27,0.014,0.055,-0.008,0.939
28,0.016,0.062,-0.01,0.931
29,0.026,0.078,-0.015,0.91
30,0.022,0.066,-0.013,0.924
