"aou","n_regions","SPEC","COMMONNAME","SCINAME","SPEC6","species_id","french_common_name","spanish_common_name","sporder","family","genus","species"
22860,108,"EUCD","Eurasian Collared-Dove","Streptopelia decaocto","STRDEC",140,"Tourterelle turque","Streptopelia decaocto","Columbiformes","Columbidae","Streptopelia","decaocto"
2890,82,"NOBO","Northern Bobwhite","Colinus virginianus","COLVIR",89,"Colin de Virginie","Colinus virginianus","Galliformes","Odontophoridae","Colinus","virginianus"
6120,70,"CLSW","Cliff Swallow","Petrochelidon pyrrhonota","PETPYR",1025,"Hirondelle à front blanc","Petrochelidon pyrrhonota","Passeriformes","Hirundinidae","Petrochelidon","pyrrhonota"
6882,53,"HOSP","House Sparrow","Passer domesticus","PASDOM",1195,"Moineau domestique","Passer domesticus","Passeriformes","Passeridae","Passer","domesticus"
6140,50,"TRES","Tree Swallow","Tachycineta bicolor","TACBIC",1016,"Hirondelle bicolore","Tachycineta bicolor","Passeriformes","Hirundinidae","Tachycineta","bicolor"
5010,45,"EAME","Eastern Meadowlark","Sturnella magna","STUMAG",1467,"Sturnelle des prés","Sturnella magna","Passeriformes","Icteridae","Sturnella","magna"
5190,41,"HOFI","House Finch","Haemorhous mexicanus","HAEMEX",1222,"Roselin familier","Haemorhous mexicanus","Passeriformes","Fringillidae","Haemorhous","mexicanus"
4090,39,"RBWO","Red-bellied Woodpecker","Melanerpes carolinus","MELCAR",734,"Pic à ventre roux","Melanerpes carolinus","Piciformes","Picidae","Melanerpes","carolinus"
5011,28,"WEME","Western Meadowlark","Sturnella neglecta","STUNEG",1468,"Sturnelle de l'Ouest","Sturnella neglecta","Passeriformes","Icteridae","Sturnella","neglecta"
3091,25,"RNEP","Ring-necked Pheasant","Phasianus colchicus","PHACOL",103,"Faisan de Colchide","Phasianus colchicus","Galliformes","Phasianidae","Phasianus","colchicus"
5100,21,"BRBL","Brewer's Blackbird","Euphagus cyanocephalus","EUPCYC",1473,"Quiscale de Brewer","Euphagus cyanocephalus","Passeriformes","Icteridae","Euphagus","cyanocephalus"
6160,21,"BANS","Bank Swallow","Riparia riparia","RIPRIP",1024,"Hirondelle de rivage","Riparia riparia","Passeriformes","Hirundinidae","Riparia","riparia"
7550,20,"WOTH","Wood Thrush","Hylocichla mustelina","HYLMUS",1145,"Grive des bois","Hylocichla mustelina","Passeriformes","Turdidae","Hylocichla","mustelina"
3131,19,"ROPI","Rock Pigeon","Columba livia","COLLIV",129,"Pigeon biset","Columba livia","Columbiformes","Columbidae","Columba","livia"
6130,18,"BARS","Barn Swallow","Hirundo rustica","HIRRUS",1028,"Hirondelle rustique","Hirundo rustica","Passeriformes","Hirundinidae","Hirundo","rustica"
